#Variable    Value 
Shunt_1360    7.507411182151109e-7 
Shunt_250    3.6045615867407133e-6 
Shunt_766    0.4977287607756856 
Shunt_1363    6.124502083317379e-7 
Shunt_249    2.434709447969192e-6 
Shunt_1362    7.651969692136073e-7 
Shunt_834    5.610883959267218e-7 
Shunt_1082    4.70986124083686e-7 
Shunt_1373    5.843531540649814e-7 
Shunt_247    5.97401110064019e-6 
Shunt_1100    5.541100060849197e-7 
Shunt_431    0.44435301094917623 
Shunt_796    4.849968371313616e-7 
Shunt_995    6.385327497266852e-7 
Shunt_163    7.760437702056488e-7 
Shunt_590    9.494297453879369e-7 
Shunt_540    0.3072978985304347 
Shunt_240    0.41215045544006745 
Shunt_745    1.3680285009340962e-6 
Shunt_1132    6.343113427858448e-7 
Shunt_1195    7.566247291920547e-7 
Shunt_36    0.14062674119073448 
Shunt_248    0.4341113244949498 
Shunt_301    6.094941057523703e-7 
Shunt_452    0.5717425832828678 
Shunt_819    6.302703116059578e-7 
Shunt_283    5.580587016965282e-7 
Shunt_338    9.615319997387873e-6 
Shunt_820    6.537695013198653e-7 
Shunt_1328    1.2517183755058528e-6 
Shunt_116    0.6239247326322066 
Shunt_994    6.591552119633951e-7 
Shunt_1361    7.891800432088281e-7 
Shunt_1374    6.086716558928166e-7 
Shunt_875    0.005466391261405872 
Shunt_361    0.23511344999078407 
Shunt_241    0.43889427615891274 
Shunt_788    5.403464766836256e-7 
Shunt_767    0.5551545006403449 
Shunt_71    4.858177358458641e-7 
Shunt_47    3.696296851392826e-7 
Shunt_1150    0.46883503525014103 
Shunt_195    0.3268682729555743 
Shunt_1372    6.12421234705708e-7 
Shunt_1274    5.87194855620005e-7 
VOLT_1153_Re    -0.24226614850084072   
VOLT_1153_Im    0.004030190813824914   
VOLT_1632_Re    -0.26570011893239165   
VOLT_1632_Im    -0.0788652652668197   
VOLT_1142_Re    -0.3025715114746448   
VOLT_1142_Im    -3.30008028082887e-6   
VOLT_565_Re    -0.3007595154196794   
VOLT_565_Im    -0.04620426482236674   
VOLT_1404_Re    -0.2511496507262417   
VOLT_1404_Im    -0.0001400892313326263   
VOLT_1054_Re    -0.24983832944212142   
VOLT_1054_Im    -0.0001298166445725023   
VOLT_1066_Re    -0.3163177729998261   
VOLT_1066_Im    3.6247217822240748e-6   
VOLT_280_Re    -0.1634596842628728   
VOLT_280_Im    -0.37342614717967454   
VOLT_1523_Re    0.18496726647574482   
VOLT_1523_Im    0.14444636715376827   
VOLT_351_Re    0.2134191525231848   
VOLT_351_Im    -0.1500428806031356   
VOLT_488_Re    -0.015420618611365263   
VOLT_488_Im    0.26158834390662095   
VOLT_1129_Re    -0.3162512119522953   
VOLT_1129_Im    -0.002658733929569258   
VOLT_1257_Re    -0.2680875053928537   
VOLT_1257_Im    0.04491313933986528   
VOLT_855_Re    0.1161281922530504   
VOLT_855_Im    -0.2645741829438861   
VOLT_1849_Re    0.004380748132218871   
VOLT_1849_Im    0.22015148030930384   
VOLT_60_Re    0.18137897645887066   
VOLT_60_Im    0.31315900445371436   
VOLT_305_Re    -0.31977512543830794   
VOLT_305_Im    0.021270197903405123   
VOLT_1718_Re    -0.18199310781617495   
VOLT_1718_Im    -0.22218388279891985   
VOLT_1301_Re    0.20783096343843122   
VOLT_1301_Im    -0.037864743372719147   
VOLT_736_Re    -0.28779230324500515   
VOLT_736_Im    -0.0010422115932609327   
VOLT_403_Re    -0.3535824255982785   
VOLT_403_Im    0.00035749907710848843   
VOLT_808_Re    -0.19577118416116648   
VOLT_808_Im    0.19707469196936833   
VOLT_973_Re    -0.25443832767297037   
VOLT_973_Im    0.007604161707116082   
VOLT_1712_Re    -0.24344456486133279   
VOLT_1712_Im    0.011722194102958883   
VOLT_1049_Re    -0.3771760941904498   
VOLT_1049_Im    -0.0007918077328186413   
VOLT_1157_Re    -0.1750858108452605   
VOLT_1157_Im    0.07145565290125182   
VOLT_1859_Re    0.09495308162707047   
VOLT_1859_Im    -0.2502805413421958   
VOLT_413_Re    -0.2877289997162398   
VOLT_413_Im    -0.0035707215247235313   
VOLT_626_Re    -0.32337508663191733   
VOLT_626_Im    0.03223079048124257   
VOLT_74_Re    -0.23329877002967164   
VOLT_74_Im    0.16990353422614854   
VOLT_955_Re    -0.18827506541703207   
VOLT_955_Im    -0.20234206527826498   
VOLT_984_Re    -0.27289004006909157   
VOLT_984_Im    0.0030425353629231658   
VOLT_1701_Re    -0.2386547838378054   
VOLT_1701_Im    -0.05089318053279115   
VOLT_431_Re    -0.25861775296818884   
VOLT_431_Im    0.04264301694671772   
VOLT_1366_Re    0.009913296874697344   
VOLT_1366_Im    0.1493774312843262   
VOLT_1608_Re    0.1881020941649112   
VOLT_1608_Im    0.16106574931350062   
VOLT_1634_Re    0.11625229594698995   
VOLT_1634_Im    0.16067252924088954   
VOLT_578_Re    -0.28754268830138524   
VOLT_578_Im    0.013074929042441341   
VOLT_193_Re    0.03855341012191792   
VOLT_193_Im    0.2682354888281504   
VOLT_223_Re    -0.33336114675236883   
VOLT_223_Im    -6.952954647541085e-5   
VOLT_1258_Re    0.17867098270381013   
VOLT_1258_Im    -0.13208459056657945   
VOLT_1829_Re    0.10677155024462853   
VOLT_1829_Im    0.23587853293865418   
VOLT_1839_Re    -0.27471504283651094   
VOLT_1839_Im    -0.09091776971111183   
VOLT_882_Re    -0.19210367519050284   
VOLT_882_Im    0.2517184342796665   
VOLT_1687_Re    -0.3735666086506356   
VOLT_1687_Im    -1.8460401431424813e-5   
VOLT_1351_Re    -0.30916663397422994   
VOLT_1351_Im    -0.09452690719961435   
VOLT_1443_Re    -0.26282131904721123   
VOLT_1443_Im    0.03779035758516284   
VOLT_24_Re    -0.30292927232242095   
VOLT_24_Im    1.2187248225142074e-7   
VOLT_169_Re    0.0980744367805415   
VOLT_169_Im    0.2218045221664102   
VOLT_1323_Re    0.14828270435770097   
VOLT_1323_Im    0.19287774619901724   
VOLT_1451_Re    -0.23441407296280514   
VOLT_1451_Im    -0.19115012840542883   
VOLT_1683_Re    -0.23193210262674124   
