#Variable    Value 
Shunt_359    0.0006047797190614554 
Shunt_494    0.0005428244122271791 
Shunt_270    0.0005657441060190041 
Shunt_1661    0.0005555639655595294 
Shunt_555    0.0005779998807319222 
Shunt_443    0.000561684154364406 
Shunt_235    0.0005426417336309331 
Shunt_1857    0.0005706426370094907 
Shunt_986    0.0007254485008535488 
Shunt_1462    0.0006505829785867045 
Shunt_2552    0.0008529502222702536 
Shunt_977    0.0005477445526366515 
Shunt_32    0.0005373707536664203 
Shunt_899    0.0004900954472980513 
Shunt_1138    0.00058998829242176 
Shunt_2774    0.0006484606742656397 
Shunt_2781    0.0006093274463592346 
Shunt_1158    0.0005437368700834198 
Shunt_719    0.0005846232097309628 
Shunt_2596    0.0005855365187027094 
Shunt_1019    0.0004884902716445484 
Shunt_2390    0.000575260345023541 
Shunt_2749    0.000557711704833385 
Shunt_64    0.0005046451354892455 
Shunt_2731    0.0005901477878727538 
Shunt_1743    0.0004887760496933409 
Shunt_2522    0.0005426333871119727 
Shunt_2294    0.0005572195444160216 
Shunt_576    0.0005691300708645111 
Shunt_2387    0.0005949423464995581 
Shunt_2427    0.0005437925453907754 
Shunt_1910    0.0005690400192370368 
Shunt_2090    0.0005629816556094565 
Shunt_2191    0.0005870653357354998 
Shunt_2272    0.00047794606815961796 
Shunt_1191    0.0005550430797286843 
Shunt_2048    0.0005938063017997057 
Shunt_1426    0.0005286483439662765 
Shunt_1875    0.0005163186132188112 
Shunt_1000    0.0007390424550442655 
Shunt_221    0.0006091479003796183 
Shunt_1011    0.0006240434565572882 
Shunt_196    0.000567521576371341 
Shunt_2559    0.0005942113008611405 
Shunt_1267    0.000569637182679074 
Shunt_708    0.0005026323039232577 
Shunt_2706    0.0005441762597295448 
Shunt_305    0.0005742404312725768 
Shunt_1384    0.0005144928185710102 
Shunt_1270    0.0005482326873510464 
Shunt_2032    0.0004707729015243091 
Shunt_1407    0.0006027040101018021 
Shunt_55    0.0004988845858834394 
Shunt_2124    0.0005110870839307725 
Shunt_1758    0.0005886853948608283 
Shunt_1100    0.0004849175140541663 
Shunt_1221    0.0005071278872422077 
Shunt_982    0.0005669666903292031 
Shunt_95    0.0005671509857197548 
Shunt_2380    0.0005997916847206539 
Shunt_1103    0.0005981985910412915 
Shunt_1387    0.0005989682424645025 
Shunt_1033    0.0005396179662461411 
Shunt_180    0.0005368580035338385 
Shunt_345    0.0006387385488305954 
Shunt_2392    0.0005496904910585035 
Shunt_2576    0.0005217047279119095 
Shunt_1349    0.0006008615268002252 
Shunt_1041    0.0005997219882647605 
Shunt_1438    0.0005969721072790182 
Shunt_2320    0.0005847123352468027 
Shunt_665    0.0005237307819261907 
Shunt_2406    0.0005849442175562957 
Shunt_74    0.0005782986015492122 
Shunt_896    0.000490082697790304 
Shunt_517    0.0005714498003251308 
Shunt_1608    0.0005060452723082533 
Shunt_469    0.0005275097369253594 
Shunt_737    0.0005832066611218773 
Shunt_590    0.0005423942155497415 
Shunt_2247    0.0006352868446387771 
Shunt_1842    0.0004924291853028456 
Shunt_1026    0.0005005634007172315 
Shunt_20    0.0005935899847382907 
Shunt_1616    0.0005368921269318641 
Shunt_407    0.00047767121478087683 
Shunt_2594    0.0005551545521363856 
Shunt_2631    0.0005422979877764926 
Shunt_1503    0.0005866556384564296 
Shunt_1107    0.000525843722906999 
Shunt_2436    0.0006787704916979111 
Shunt_413    0.0005640287043156376 
Shunt_1439    0.0005368859399561689 
Shunt_1045    0.0005851496940502217 
Shunt_2306    0.0005784919326142785 
Shunt_1014    0.0005727700648106411 
Shunt_1186    0.0005547849424549868 
Shunt_340    0.0005286468419602326 
Shunt_567    0.000562623153214545 
Shunt_820    0.0005511143555654514 
Shunt_1244    0.0005924730329267556 
Shunt_771    0.0005563463472477587 
Shunt_2034    0.0005684057366514831 
Shunt_2344    0.00048708312478002586 
Shunt_1226    0.000675750467920625 
Shunt_856    0.0005517415614277788 
Shunt_426    0.0006161785307101504 
Shunt_1552    0.0005721015191005448 
Shunt_1331    0.0004990617122126458 
Shunt_957    0.0005601735836271344 
Shunt_1418    0.0006026517774481371 
Shunt_1673    0.0005680487504524072 
Shunt_519    0.0005545636897784786 
Shunt_1596    0.0005799235501654851 
Shunt_1005    0.0005166955071908423 
Shunt_2829    0.0004735547838638736 
Shunt_200    0.0004684471568553473 
Shunt_2565    0.0005034873686385071 
Shunt_2028    0.0005660551324281563 
Shunt_1589    0.0005499879071584273 
Shunt_2599    0.0005897112738645526 
Shunt_2429    0.0005418780303078289 
Shunt_1243    0.0005013823392263206 
Shunt_962    0.0005581022617804284 
Shunt_2084    0.0005850797467598779 
Shunt_1571    0.0005086863521427374 
Shunt_654    0.0005707075148688374 
Shunt_1769    0.00047656444594673685 
Shunt_348    0.0005560477370166095 
Shunt_47    0.0005267979127966667 
Shunt_2750    0.0005784609163907165 
Shunt_2478    0.000653368329983014 
Shunt_522    0.000583453931589026 
Shunt_2566    0.0005155587695615665 
Shunt_1554    0.0005418431191627306 
Shunt_324    0.0005431625561077019 
Shunt_2403    0.0005130512941494689 
Shunt_387    0.8976624756015464 
Shunt_583    0.0005431407739819332 
Shunt_1424    0.0005601793445596165 
Shunt_863    0.000555447593706457 
Shunt_389    0.0005567597045770638 
Shunt_1080    0.0005995765067016745 
Shunt_1171    0.0005652236285830653 
Shunt_611    0.000692428451735869 
Shunt_658    0.0005521090049149627 
Shunt_1840    0.000596186549425783 
Shunt_1971    0.0005426859456295283 
Shunt_1938    0.0005357270798394231 
Shunt_1108    0.0005336474527719746 
Shunt_25    0.0005315942660427486 
Shunt_1395    0.0005996858094042832 
Shunt_2622    0.000928975712576279 
Shunt_218    0.0006783218707890868 
Shunt_234    0.0005145087540131607 
Shunt_2560    0.0005414424814902522 
Shunt_1585    0.0006301702309159708 
Shunt_2647    0.000581510270366753 
Shunt_2674    0.00056317643495579 
Shunt_1297    0.0005332206652915707 
Shunt_2779    0.0005633059300672184 
Shunt_580    0.0006255752813058171 
Shunt_834    0.0005749736325712517 
Shunt_169    0.0005153589788520973 
Shunt_1765    0.0005867054315456699 
Shunt_1955    0.0005334660327716809 
Shunt_2261    0.0005330469942772442 
Shunt_2006    0.0005566563639200619 
Shunt_498    0.0005932058203826399 
Shunt_328    0.000551385272190606 
Shunt_2347    0.0005981249814197447 
Shunt_2519    0.0005314959024346347 
Shunt_1714    0.0005774249786868271 
Shunt_1516    0.0005687021895870224 
Shunt_1459    0.0004959000991228518 
Shunt_1007    0.0005084831981440579 
Shunt_1149    0.0005756800166182165 
Shunt_1621    0.0006098230226322588 
Shunt_2462    0.0005605541695782371 
Shunt_1909    0.0005292806261799004 
Shunt_2717    0.0005753734957252025 
Shunt_1895    0.0005606697123138568 
Shunt_215    0.0005460886266821779 
Shunt_1099    0.0005524988012975538 
Shunt_963    0.0004804941955396513 
Shunt_2407    0.0005804066335316957 
Shunt_1313    0.0006063332982830573 
Shunt_2035    0.0005674401718013156 
Shunt_575    0.000533677586850305 
Shunt_1276    0.0005466453478969399 
Shunt_2385    0.0005973754024827525 
Shunt_2054    0.0005317193894014091 
Shunt_695    0.0005310793561340246 
Shunt_2220    0.0005477870871187053 
Shunt_1729    0.0005463073497370609 
Shunt_597    0.0005875392926971946 
Shunt_368    0.00058863451524849 
Shunt_2721    0.0005678394533320944 
Shunt_1890    0.0005278556712209054 
Shunt_2040    0.0005225711732065245 
Shunt_2849    0.0005672858268141539 
Shunt_2020    0.00047575001348424675 
Shunt_1386    0.0005391161267844897 
Shunt_1969    0.0005250496478459508 
Shunt_1730    0.0005689480953186856 
Shunt_2696    0.0005645525175958913 
Shunt_2473    0.0005492532591575797 
Shunt_1728    0.0005814498266725566 
Shunt_30    0.0005348528273413633 
Shunt_745    0.00047949655698410054 
Shunt_1805    0.0005180686925839137 
Shunt_1165    0.0005941627775336201 
Shunt_428    0.0005322006666780066 
Shunt_759    0.0005073735501856729 
Shunt_1153    0.0005453561065955105 
Shunt_2578    0.0006204426627620706 
Shunt_1720    0.0004936775705456441 
Shunt_1901    0.0005758273900367206 
Shunt_1537    0.0005434577679271414 
Shunt_2442    0.0005165918534538606 
Shunt_2057    0.0006098643158727199 
Shunt_338    0.0005061883663236445 
Shunt_646    0.0005535073785766241 
Shunt_1131    0.0006505498754209119 
Shunt_2574    0.0005301208582889547 
Shunt_489    0.0005340233773570892 
Shunt_1038    0.0005023770389485018 
