#Variable    Value 
Shunt_234    4.56086570970354e-7 
Shunt_2856    0.14722646468516176 
Shunt_442    0.99999952480654 
Shunt_315    0.7840618177303788 
Shunt_427    7.925071287175584e-6 
Shunt_2748    0.343574183456278 
Shunt_2781    0.23242985105065841 
Shunt_2772    0.9999993447873269 
Shunt_443    0.9604402431430514 
VOLT_2083_Re    -0.2774106229960594   
VOLT_2083_Im    -8.268744310296809e-8   
VOLT_2648_Re    -0.31488161854164237   
VOLT_2648_Im    0.0013265555262914643   
VOLT_1404_Re    -0.24411966475639468   
VOLT_1404_Im    -0.17653489019208296   
VOLT_1066_Re    -0.24004203607979743   
VOLT_1066_Im    0.0021868003880186637   
VOLT_2472_Re    -0.030634632332804414   
VOLT_2472_Im    0.07042667086280988   
VOLT_60_Re    0.19079260160587566   
VOLT_60_Im    -0.06508867324584588   
VOLT_2256_Re    0.33732770800098977   
VOLT_2256_Im    0.025029254886720417   
VOLT_413_Re    -0.22063170306014485   
VOLT_413_Im    0.1830867302104299   
VOLT_2982_Re    -0.2147458079996886   
VOLT_2982_Im    0.02093650552407777   
VOLT_74_Re    -0.09734836845914942   
VOLT_74_Im    -0.39655077710693815   
VOLT_955_Re    0.05133703200373245   
VOLT_955_Im    -0.06599937437118776   
VOLT_626_Re    0.01984112458956413   
VOLT_626_Im    -0.300746503903598   
VOLT_431_Re    0.1621436302221127   
VOLT_431_Im    0.13782421802883388   
VOLT_1608_Re    0.3260261121915581   
VOLT_1608_Im    0.13100887559317828   
VOLT_2090_Re    0.327345960682204   
VOLT_2090_Im    0.19494810718349373   
VOLT_1634_Re    0.1346436604808202   
VOLT_1634_Im    0.2854211550707506   
VOLT_2283_Re    0.17317218220069047   
VOLT_2283_Im    -0.08443748041862073   
VOLT_223_Re    0.2336889827096898   
VOLT_223_Im    0.2508618920951362   
VOLT_2836_Re    0.24743959095781898   
VOLT_2836_Im    -0.026836406320453365   
VOLT_2303_Re    -0.10749268138251737   
VOLT_2303_Im    0.2534424596534764   
VOLT_2796_Re    -0.37646990439765676   
VOLT_2796_Im    -0.0005587265270793431   
VOLT_1323_Re    -0.2011210597309891   
VOLT_1323_Im    -5.4462030853042846e-5   
VOLT_580_Re    -0.13261508710946465   
VOLT_580_Im    0.1763612094624273   
VOLT_2873_Re    -0.0846793387665341   
VOLT_2873_Im    0.24215548229509423   
VOLT_1480_Re    0.25564295075829335   
VOLT_1480_Im    0.033745060715962824   
VOLT_2413_Re    -0.08050665628965696   
VOLT_2413_Im    0.1783097973276169   
VOLT_437_Re    0.08378196813669533   
VOLT_437_Im    -0.28942967005348386   
VOLT_2070_Re    -0.3562867678702155   
VOLT_2070_Im    -0.014260937737332195   
VOLT_2092_Re    0.07288853850837412   
VOLT_2092_Im    -0.2110075222221567   
VOLT_2945_Re    -0.2058494471194022   
VOLT_2945_Im    -0.08373934017163226   
VOLT_767_Re    -0.24082313153572113   
VOLT_767_Im    -0.0029825832109377577   
VOLT_2279_Re    -0.18991660226964482   
VOLT_2279_Im    -0.2538612004240416   
VOLT_791_Re    0.06725004097374722   
VOLT_791_Im    -0.171490229297728   
VOLT_1705_Re    -0.26696794673960395   
VOLT_1705_Im    0.002632184752278508   
VOLT_2562_Re    -0.3346301083704112   
VOLT_2562_Im    -0.0005984454753663474   
VOLT_2943_Re    -0.03171651416786878   
VOLT_2943_Im    -0.21015676609444686   
VOLT_762_Re    0.025443394496116732   
VOLT_762_Im    0.012848037890023253   
VOLT_237_Re    -0.13015316551396508   
VOLT_237_Im    -0.14317064773231855   
VOLT_2490_Re    -0.3016280465137984   
VOLT_2490_Im    -0.00043903330911532207   
VOLT_2167_Re    -0.08645053695279187   
VOLT_2167_Im    -0.19464745307678294   
VOLT_2833_Re    -0.005939313983582213   
VOLT_2833_Im    -0.27764597230427057   
VOLT_163_Re    0.13949230648160577   
VOLT_163_Im    0.05248827778665599   
VOLT_598_Re    -0.19524502136468438   
VOLT_598_Im    -0.03612515672179842   
VOLT_16_Re    -0.0528289736650478   
VOLT_16_Im    -0.11428922318807481   
VOLT_813_Re    -0.09804603090838605   
VOLT_813_Im    -0.2104935326278737   
VOLT_3007_Re    -0.30115823212498455   
VOLT_3007_Im    -0.10066996365224913   
VOLT_1311_Re    -0.08007342146067423   
VOLT_1311_Im    0.18141929058987993   
VOLT_841_Re    -0.02898267913762019   
VOLT_841_Im    0.28597636765468737   
VOLT_1028_Re    0.14017419245398327   
VOLT_1028_Im    0.17447909229387581   
VOLT_1330_Re    0.02113663803255648   
VOLT_1330_Im    -0.043059202677000294   
VOLT_2310_Re    0.054740642138059944   
VOLT_2310_Im    -0.2815969489680661   
VOLT_2062_Re    -0.07395935332416023   
VOLT_2062_Im    -0.0726534653829764   
VOLT_1492_Re    -0.12040367830681521   
VOLT_1492_Im    0.010883559355275949   
VOLT_2688_Re    0.2841480089199324   
VOLT_2688_Im    -0.04537004036313251   
VOLT_1574_Re    -0.158453281380084   
VOLT_1574_Im    0.2558949932377795   
VOLT_1549_Re    -0.23557158389545443   
VOLT_1549_Im    -0.0018163711741585949   
VOLT_2568_Re    -0.34415158406671775   
VOLT_2568_Im    0.02873286149361768   
VOLT_1678_Re    0.33957971284869387   
VOLT_1678_Im    0.09703527355506038   
VOLT_1844_Re    -0.20288896031993678   
VOLT_1844_Im    -0.00521291292620087   
VOLT_1091_Re    0.2343289665921358   
VOLT_1091_Im    -0.0415660985002516   
VOLT_1938_Re    -0.2140671355504272   
VOLT_1938_Im    -0.0016455637806246334   
VOLT_2572_Re    -0.24200102178537392   
VOLT_2572_Im    -0.0013469815026998485   
VOLT_2118_Re    0.10958398736405105   
VOLT_2118_Im    0.31492648391758993   
VOLT_663_Re    -0.1773543457203889   
