#Variable    Value 
Shunt_359    4.9212570746523904e-5 
Shunt_494    4.279185043686459e-5 
Shunt_270    4.492058744938477e-5 
Shunt_1661    4.625370104630086e-5 
Shunt_555    4.651763560137008e-5 
Shunt_443    4.449150537755952e-5 
Shunt_235    4.4599054334945524e-5 
Shunt_1857    4.6260758737745566e-5 
Shunt_986    7.553987288814815e-5 
Shunt_1462    5.651596557400133e-5 
Shunt_2552    0.00013566907694566335 
Shunt_977    4.6980831396952606e-5 
Shunt_32    4.436844581660895e-5 
Shunt_899    4.3248692537265304e-5 
Shunt_1138    4.45798461737033e-5 
Shunt_2774    5.6214484097197476e-5 
Shunt_2781    6.115349980731088e-5 
Shunt_1158    4.544164676928223e-5 
Shunt_719    4.6935937540502125e-5 
Shunt_2596    4.627894093353606e-5 
Shunt_1019    4.280125109118301e-5 
Shunt_2390    4.3819487632964723e-5 
Shunt_2749    5.272396036131329e-5 
Shunt_64    4.469508236763313e-5 
Shunt_2731    4.6605783161825015e-5 
Shunt_1743    4.373396937453253e-5 
Shunt_2522    4.742272977975621e-5 
Shunt_2294    4.417329120697887e-5 
Shunt_576    4.510588480614929e-5 
Shunt_2387    4.656055047704636e-5 
Shunt_2427    4.365296539246052e-5 
Shunt_1910    4.578190432980757e-5 
Shunt_2090    4.536324319784347e-5 
Shunt_2191    5.109744096428422e-5 
Shunt_2272    4.546450100958837e-5 
Shunt_1191    4.4103235172017196e-5 
Shunt_2048    4.425874599804845e-5 
Shunt_1426    4.828114019647232e-5 
Shunt_1875    4.3118316565055714e-5 
Shunt_1000    0.00011162329995371888 
Shunt_221    5.93977314109345e-5 
Shunt_1011    5.125784835948109e-5 
Shunt_196    4.564601093451951e-5 
Shunt_2559    5.9002794658606606e-5 
Shunt_1267    4.512091800636291e-5 
Shunt_708    4.2215970119377695e-5 
Shunt_2706    4.653670373439514e-5 
Shunt_305    4.63586422248638e-5 
Shunt_1384    4.355217927435916e-5 
Shunt_1270    5.240471642312955e-5 
Shunt_2032    4.263612174895551e-5 
Shunt_1407    4.616775525109787e-5 
Shunt_55    4.33728456388426e-5 
Shunt_2124    4.3247967961129945e-5 
Shunt_1758    4.619667873437802e-5 
Shunt_1100    4.456087493173289e-5 
Shunt_1221    4.3099323729445664e-5 
Shunt_982    4.486780706224458e-5 
Shunt_95    4.7154379607115804e-5 
Shunt_2380    4.3573775095519585e-5 
Shunt_1103    4.751117570806699e-5 
Shunt_1387    4.695963627227197e-5 
Shunt_1033    4.39957569310138e-5 
Shunt_180    4.3379733765306104e-5 
Shunt_345    6.121654909599889e-5 
Shunt_2392    4.442474803195262e-5 
Shunt_2576    4.3915545614017476e-5 
Shunt_1349    4.794354841233079e-5 
Shunt_1041    5.7762271677753916e-5 
Shunt_1438    4.773297513254512e-5 
Shunt_2320    4.624408818146287e-5 
Shunt_665    4.4206750755105995e-5 
Shunt_2406    4.608579261635951e-5 
Shunt_74    4.734870747525565e-5 
Shunt_896    4.5225035490188975e-5 
Shunt_517    4.555961207115725e-5 
Shunt_1608    4.466881221902459e-5 
Shunt_469    4.395294007661861e-5 
Shunt_737    4.684715205742401e-5 
Shunt_590    4.811674192923436e-5 
Shunt_2247    6.0001520339695475e-5 
Shunt_1842    4.4019673954250216e-5 
Shunt_1026    4.444898151920435e-5 
Shunt_20    5.750526390319137e-5 
Shunt_1616    4.296564003085941e-5 
Shunt_407    4.2577217461823535e-5 
Shunt_2594    4.373304748785901e-5 
Shunt_2631    4.463161458202569e-5 
Shunt_1503    4.5397776247434365e-5 
Shunt_1107    4.394739823155619e-5 
Shunt_2436    5.966350298876047e-5 
Shunt_413    4.772423449001508e-5 
Shunt_1439    4.485055072521457e-5 
Shunt_1045    4.711134745418108e-5 
Shunt_2306    4.668585617660141e-5 
Shunt_1014    4.6656487446964135e-5 
Shunt_1186    4.557489904987187e-5 
Shunt_340    4.4001300461027126e-5 
Shunt_567    5.2881983801708234e-5 
Shunt_820    4.659948348775621e-5 
Shunt_1244    4.479808148738645e-5 
Shunt_771    4.88080989046698e-5 
Shunt_2034    4.4933823955635144e-5 
Shunt_2344    4.359794612271043e-5 
Shunt_1226    5.8689524672748695e-5 
Shunt_856    4.411429296883676e-5 
Shunt_426    6.30030209335919e-5 
Shunt_1552    4.593497512905383e-5 
Shunt_1331    4.3761355034676635e-5 
Shunt_957    4.909895753113616e-5 
Shunt_1418    4.652908500738834e-5 
Shunt_1673    4.644469557913201e-5 
Shunt_519    4.479386041806294e-5 
Shunt_1596    5.602509554672386e-5 
Shunt_1005    4.540796776911654e-5 
Shunt_2829    4.5021115368591106e-5 
Shunt_200    4.389537816010069e-5 
Shunt_2565    4.2605065837815095e-5 
Shunt_2028    4.561910981958241e-5 
Shunt_1589    4.442469855738308e-5 
Shunt_2599    4.539255064707749e-5 
Shunt_2429    4.5432855346960735e-5 
Shunt_1243    4.423447073838696e-5 
Shunt_962    4.5396920739414234e-5 
Shunt_2084    4.6970851158299874e-5 
Shunt_1571    4.320445279498665e-5 
Shunt_654    5.57867465243164e-5 
Shunt_1769    4.428957902488175e-5 
Shunt_348    4.4170096234826476e-5 
Shunt_47    4.5450275286917014e-5 
Shunt_2750    4.879831030119187e-5 
Shunt_2478    5.685661210495146e-5 
Shunt_522    4.687054109888429e-5 
Shunt_2566    4.2635697856154226e-5 
Shunt_1554    4.538732545274424e-5 
Shunt_324    4.438581862386591e-5 
Shunt_2403    4.5252397817227626e-5 
Shunt_387    0.9997107558823359 
Shunt_583    4.277496346605453e-5 
Shunt_1424    4.577273909119013e-5 
Shunt_863    5.24192214717921e-5 
Shunt_389    4.558347317193828e-5 
Shunt_1080    4.9615538152386916e-5 
Shunt_1171    4.5701216194006e-5 
Shunt_611    7.872409579731365e-5 
Shunt_658    4.421581749876017e-5 
Shunt_1840    4.63699607213473e-5 
Shunt_1971    4.742804914603611e-5 
Shunt_1938    5.06307302270737e-5 
Shunt_1108    4.306647834739462e-5 
Shunt_25    4.4580744454135236e-5 
Shunt_1395    4.764958337824319e-5 
Shunt_2622    0.06917475078938236 
Shunt_218    6.194263980991924e-5 
Shunt_234    4.585957649338954e-5 
Shunt_2560    4.325077805046268e-5 
Shunt_1585    4.9106834036571645e-5 
Shunt_2647    4.6779246276504866e-5 
Shunt_2674    5.311515588378315e-5 
Shunt_1297    4.444138558678779e-5 
Shunt_2779    4.542474970546464e-5 
Shunt_580    6.446757943834811e-5 
Shunt_834    7.397796967242796e-5 
Shunt_169    4.29119682074261e-5 
Shunt_1765    4.610763654147805e-5 
Shunt_1955    5.021473791481977e-5 
Shunt_2261    4.276617320860174e-5 
Shunt_2006    4.406600090014438e-5 
Shunt_498    4.664752741236408e-5 
Shunt_328    4.3478408831463976e-5 
Shunt_2347    4.754861486919794e-5 
Shunt_2519    5.032851245966808e-5 
Shunt_1714    5.046676011844348e-5 
Shunt_1516    4.503661748836645e-5 
Shunt_1459    4.4403680212052945e-5 
Shunt_1007    4.361107038110658e-5 
Shunt_1149    4.7008773454618164e-5 
Shunt_1621    5.33248567734656e-5 
Shunt_2462    4.434006691099394e-5 
Shunt_1909    4.488749230469104e-5 
Shunt_2717    4.595133921320855e-5 
Shunt_1895    5.4838707242490245e-5 
Shunt_215    4.504064274590142e-5 
Shunt_1099    4.668765996664588e-5 
Shunt_963    4.4162866126871926e-5 
Shunt_2407    4.676611704577066e-5 
Shunt_1313    4.893319425218924e-5 
Shunt_2035    4.563110467555019e-5 
Shunt_575    4.999719570625039e-5 
