#Variable    Value 
Shunt_6    0.9999998251138437 
VOLT_21_Re    -0.576857053690183   
VOLT_21_Im    0.005233616452688538   
VOLT_13_Re    -0.4820156184801422   
VOLT_13_Im    0.011580817558045159   
VOLT_20_Re    0.30786241242723505   
VOLT_20_Im    0.4881905595149671   
VOLT_23_Re    -0.26087807888694114   
VOLT_23_Im    0.17985885164196538   
VOLT_17_Re    -0.557352869411407   
VOLT_17_Im    -0.050318494275291774   
VOLT_19_Re    -0.13076555429254358   
VOLT_19_Im    0.24151122189053398   
VOLT_15_Re    -0.43782134035976017   
VOLT_15_Im    -0.26716937301152793   
VOLT_16_Re    -0.31564611660184394   
VOLT_16_Im    -0.034991071844778183   
VOLT_11_Re    -0.2773720798833193   
VOLT_11_Im    0.04162492375134039   
VOLT_4_Re    -0.5700042858368874   
VOLT_4_Im    1.0561747826073053e-7   
VOLT_5_Re    0.007017267889738666   
VOLT_5_Im    -0.5724052829101888   
VOLT_12_Re    -0.40910555059709597   
VOLT_12_Im    -0.09628587615042224   
VOLT_24_Re    -0.21712284384461322   
VOLT_24_Im    -0.5257068091786944   
VOLT_2_Re    -0.3033543011673573   
VOLT_2_Im    -0.1749311350707136   
VOLT_18_Re    -0.5768394916105182   
VOLT_18_Im    -0.032733952857465845   
VOLT_7_Re    -0.7148575394099955   
VOLT_7_Im    -0.020381963780360602   
VOLT_10_Re    -0.06977311326786621   
VOLT_10_Im    -0.24598570445336568   
VOLT_6_Re    -0.571043472106311   
VOLT_6_Im    8.347177487349448e-8   
VOLT_1_Re    0.20212415640326897   
VOLT_1_Im    -0.4710333794045536   
VOLT_14_Re    -0.10125952638543688   
VOLT_14_Im    0.5717222523998372   
VOLT_3_Re    -0.019777733569503807   
VOLT_3_Im    -0.22161364113186727   
VOLT_9_Re    -0.07542461148854104   
VOLT_9_Im    -0.1833810873555672   
VOLT_8_Re    -0.6315706593035034   
VOLT_8_Im    3.008690016703667e-8   
VOLT_22_Re    -0.5777675242078681   
VOLT_22_Im    -2.570269167641868e-8   
