#Variable    Value 
Shunt_8313    0.9999184372983302 
Shunt_6147    0.9999207370824285 
Shunt_2974    0.9999242897624145 
Shunt_3379    0.9999281043619197 
Shunt_977    7.480494606906334e-5 
Shunt_8500    7.50193295659328e-5 
Shunt_5408    0.9999235402554361 
Shunt_2774    0.9999165437245381 
Shunt_2781    0.9999169166116068 
Shunt_1158    0.9999207387809508 
Shunt_2749    0.9999272389660405 
Shunt_4878    0.9999195952042341 
Shunt_1019    0.9999220917192544 
Shunt_4241    7.584363962452686e-5 
Shunt_3896    0.9999205859504264 
Shunt_4505    0.9999253680672546 
Shunt_2731    0.9999076462848011 
Shunt_9095    0.9999204343486744 
Shunt_2976    0.9999133053747494 
Shunt_4288    7.618949616916441e-5 
Shunt_5550    7.405421059758147e-5 
Shunt_4213    0.9999181963770298 
Shunt_4416    0.9999247910207857 
Shunt_4384    5.9201265743146046e-5 
Shunt_5803    7.387739259597271e-5 
Shunt_9029    7.862373189757893e-5 
Shunt_7340    0.9999236964194439 
Shunt_6634    0.9999219393448139 
Shunt_3616    0.9999247775700496 
Shunt_2427    9.235779910267812e-5 
Shunt_5517    0.9999145491724961 
Shunt_2955    0.9999245545822332 
Shunt_3857    6.079220275289775e-5 
Shunt_2499    6.757005314031918e-5 
Shunt_4874    7.019216179025621e-5 
Shunt_2272    0.9999272321851167 
Shunt_1191    0.9999245174094854 
Shunt_8511    7.463260826980917e-5 
Shunt_7047    0.9999298913000381 
Shunt_8718    0.9999197985295488 
Shunt_1384    0.9999233831966157 
Shunt_8488    0.9999238580673591 
Shunt_9170    0.9999175538108475 
Shunt_2773    0.9999130177708725 
Shunt_8534    0.9999229924570808 
Shunt_3104    7.967816593946579e-5 
Shunt_8821    0.9999221374659225 
Shunt_7332    7.982489134956982e-5 
Shunt_4585    0.9999177364620888 
Shunt_5046    7.864411986366628e-5 
Shunt_2576    0.9999278182081636 
Shunt_5740    0.9999236125684833 
Shunt_6860    0.9999220036314689 
Shunt_5248    0.9999217335903983 
Shunt_6714    7.544846654868258e-5 
Shunt_517    0.999921507227361 
Shunt_4074    0.9999234500687357 
Shunt_6741    0.9999313417105207 
Shunt_469    0.9999194691427451 
Shunt_2247    0.9999269690809987 
Shunt_1842    7.913225866978205e-5 
Shunt_8334    0.9999256751608211 
Shunt_4966    0.9999226121919245 
Shunt_8244    7.734728908728203e-5 
Shunt_8339    0.999921135688111 
Shunt_1026    0.9999246610916027 
Shunt_8497    0.999924169202825 
Shunt_5647    0.9999129381055598 
Shunt_7597    7.440583909061264e-5 
Shunt_1189    0.9999229872501637 
Shunt_6909    0.9999289411693912 
Shunt_4148    8.25728432247551e-5 
Shunt_7905    0.9999278231026362 
Shunt_7526    0.9999228597154222 
Shunt_8111    0.9999229376979147 
Shunt_3443    0.999923996728814 
Shunt_6311    0.999913376199269 
Shunt_3079    0.9999093863725836 
Shunt_6610    0.9999199661205032 
Shunt_4930    0.9999180004984725 
Shunt_771    0.999923777187469 
Shunt_1226    0.9999271464092252 
Shunt_417    0.9999236812006151 
Shunt_3027    0.999925153489013 
Shunt_8796    0.9999209971744638 
Shunt_7415    0.9999140883796275 
