#Variable    Value 
Shunt_359    0.9999905613158859 
Shunt_494    1.7129303917740487e-5 
Shunt_270    0.9999862761262694 
Shunt_1661    0.9999866497985697 
Shunt_555    0.9999828498326209 
Shunt_443    0.9999824494680623 
Shunt_235    0.999986491877526 
Shunt_1857    0.9999852295657262 
Shunt_986    0.9999873034139898 
Shunt_1462    0.9999874594980076 
Shunt_2552    3.860737062614367e-5 
Shunt_977    1.8982983888796487e-5 
Shunt_32    1.79740824361393e-5 
Shunt_899    2.531415215398706e-5 
Shunt_1138    0.9999827593921192 
Shunt_2774    0.9999872125698412 
Shunt_2781    0.999988550556997 
Shunt_1158    0.9999947769593869 
Shunt_719    0.9999839746829847 
Shunt_2596    1.758899070939463e-5 
Shunt_1019    1.825582853384885e-5 
Shunt_2390    0.9999842773667946 
Shunt_2749    1.623130245690308e-5 
Shunt_64    0.9999860686135039 
Shunt_2731    0.9999909319274314 
Shunt_1743    0.9999846282373722 
Shunt_2522    0.9999837498438956 
Shunt_2294    0.9999835502284145 
Shunt_576    0.999984048619219 
Shunt_2387    0.9999842836342085 
Shunt_2427    0.999982894812959 
Shunt_1910    0.999982139424731 
Shunt_2090    0.9999829211155983 
Shunt_2191    0.9999849298628434 
Shunt_2272    0.999982799218532 
Shunt_1191    1.6556493403453933e-5 
Shunt_2048    0.9999832883295189 
Shunt_1426    0.9999889009882256 
Shunt_1875    0.9999828630556503 
Shunt_1000    0.9999932683772172 
Shunt_221    0.9999833252495043 
Shunt_1011    0.999981649110755 
Shunt_196    0.9999821267868431 
Shunt_2559    7.3467692977884534e-6 
Shunt_1267    0.9999824184230444 
Shunt_708    8.391913257191077e-6 
Shunt_2706    0.9999835087318496 
Shunt_305    0.9999839759641701 
Shunt_1384    0.9999844620288517 
Shunt_1270    0.9999832892094436 
Shunt_2032    0.9999831294081453 
Shunt_1407    0.9999834073034644 
Shunt_55    0.9999831970465685 
Shunt_2124    0.9999829490216121 
Shunt_1758    0.9999867639187118 
Shunt_1100    0.9999834035084663 
Shunt_1221    0.9999827604061555 
Shunt_982    0.9999886015666359 
Shunt_95    0.999993477672743 
Shunt_2380    1.7461142423198273e-5 
Shunt_1103    0.9999832019798266 
Shunt_1387    0.9999846901344327 
Shunt_1033    0.9999841181915884 
Shunt_180    0.9999837741264989 
Shunt_345    0.9999837518062766 
Shunt_2392    0.9999859647716469 
Shunt_2576    0.9999823174796342 
Shunt_1349    0.9999836840914623 
Shunt_1041    0.9999845241534128 
Shunt_1438    0.999984181045174 
Shunt_2320    0.9999777996787402 
Shunt_665    1.7998778636759523e-5 
Shunt_2406    1.6543077944428175e-5 
Shunt_74    0.9999876844117838 
Shunt_896    0.9999830441771367 
Shunt_517    0.9999836251669699 
Shunt_1608    0.9999563797306678 
Shunt_469    0.9999854624841986 
Shunt_737    0.99998324677083 
Shunt_590    0.9999828686965038 
Shunt_2247    0.9999830894933645 
Shunt_1842    0.999984260575588 
Shunt_1026    0.9999852525285101 
Shunt_20    0.9999834690373083 
Shunt_1616    1.7229252950807568e-5 
Shunt_407    1.2229660125635589e-5 
Shunt_2594    0.9999838959490377 
Shunt_2631    0.9999827548397486 
Shunt_1503    0.9999871790478565 
Shunt_1107    0.999980174082373 
Shunt_2436    0.9999878797857994 
Shunt_413    0.9999858003108818 
Shunt_1439    7.824331328058479e-5 
Shunt_1045    0.9999841642259567 
