#Variable    Value 
Shunt_1683    6.156990657069848e-7 
Shunt_4452    5.105332503733853e-7 
Shunt_2802    0.16920100024266416 
Shunt_2541    0.999999788240764 
Shunt_1073    0.99999947345886 
Shunt_1265    6.698281378746167e-7 
Shunt_14    0.9999980401791401 
Shunt_1775    0.9999993961074999 
Shunt_3120    0.9999995729425799 
Shunt_1776    0.9999993483834145 
Shunt_1169    5.418719655205527e-7 
Shunt_4641    0.9999993578581406 
Shunt_152    5.892901250930771e-7 
Shunt_2475    0.9999995141491554 
Shunt_4602    0.9879940878743163 
Shunt_3873    0.999999444800835 
Shunt_3616    0.9999996040624218 
Shunt_3200    0.9999995221362024 
Shunt_6077    0.999999439236845 
Shunt_1771    5.475885458922781e-7 
Shunt_3865    5.342613382438953e-7 
Shunt_4133    1.4098350959140879e-6 
Shunt_4200    7.668545973166786e-7 
Shunt_1528    5.907533745697936e-7 
Shunt_4785    0.9999995297792724 
Shunt_754    0.9999998358732609 
Shunt_3548    0.9999995522153632 
Shunt_3374    4.08524323563189e-7 
Shunt_4542    0.8613058261860983 
Shunt_2482    0.9999995243298073 
Shunt_214    0.9999994861382797 
Shunt_6104    5.342216984159472e-7 
Shunt_4822    0.9999995273552584 
Shunt_4302    8.554397390560647e-7 
Shunt_1530    0.9999996477571935 
Shunt_4916    0.9999941951263965 
Shunt_3996    0.9999995233683225 
Shunt_4247    5.4266470520161e-7 
Shunt_2035    0.9999994161144249 
Shunt_262    0.999999556729525 
Shunt_995    0.9999992514453606 
Shunt_4242    5.732832835909928e-7 
Shunt_171    5.290764958369908e-7 
Shunt_3477    0.9999995485824378 
Shunt_4467    4.796876645252375e-7 
Shunt_4000    9.711245328359035e-7 
Shunt_1750    5.47329446689827e-7 
Shunt_1246    1.393122807531369e-6 
Shunt_2298    0.9999994450517607 
Shunt_4668    0.9999998143539787 
Shunt_1206    7.307574972057985e-6 
Shunt_4134    0.5413465625810233 
Shunt_3612    0.9999997061272369 
Shunt_668    4.879912286672537e-7 
Shunt_4674    0.9999996428841885 
Shunt_710    8.447632470760721e-7 
Shunt_3658    1.0622547565437733e-6 
Shunt_3056    6.151102636494439e-7 
Shunt_1789    4.810334349759244e-7 
Shunt_2761    0.2545398803883617 
Shunt_2461    0.9999995430575713 
Shunt_3552    5.040474394485625e-7 
Shunt_1805    0.9999994961829631 
Shunt_1170    0.9999995696023438 
Shunt_140    0.9999899295690674 
Shunt_5045    9.651094478301422e-7 
Shunt_360    0.9999994655244318 
Shunt_2714    0.9999994275370796 
Shunt_452    9.271401859013552e-7 
Shunt_2587    0.9999996427160868 
Shunt_768    0.9999995970981335 
Shunt_197    0.9999995791960439 
Shunt_3532    0.9999995117703898 
Shunt_2790    0.9999995309566864 
Shunt_4408    0.9999995866297415 
Shunt_3172    0.9999989917865475 
Shunt_1130    0.9999991401456417 
Shunt_4234    0.9999926452666474 
Shunt_3450    0.9999995110143183 
Shunt_1773    0.9999996610272243 
Shunt_653    0.9999994912936022 
Shunt_4735    0.9999997172105936 
Shunt_3290    4.829888348387425e-7 
Shunt_3872    0.999999466712844 
Shunt_1478    0.9999991915280066 
Shunt_1474    4.84962301894104e-7 
Shunt_1596    0.9999995796175116 
Shunt_2891    0.9999993968226739 
Shunt_3420    0.9999994971749658 
Shunt_2994    3.739666088455522e-7 
Shunt_711    1.0407128906402902e-6 
Shunt_1454    1.3403526970333906e-6 
Shunt_3314    7.100702165464823e-7 
Shunt_1747    0.9999994965603185 
Shunt_3106    5.951717536376591e-7 
Shunt_1711    4.660568028194147e-7 
Shunt_2964    4.5303551955534475e-7 
Shunt_3728    0.9999996296905574 
Shunt_3670    4.830852033391626e-7 
VOLT_2083_Re    -0.12327114171025878   
VOLT_2083_Im    0.19830092150049933   
VOLT_2648_Re    -0.23343773350238195   
VOLT_2648_Im    -0.02471128658024517   
VOLT_1404_Re    0.26717012422441083   
VOLT_1404_Im    -0.03189548293568742   
VOLT_1066_Re    -0.32783929981895743   
VOLT_1066_Im    0.013979368895117202   
VOLT_2472_Re    -0.14829110827598027   
VOLT_2472_Im    -0.29926758010854915   
VOLT_6176_Re    -0.25252592242105265   
VOLT_6176_Im    -0.0065503898374750895   
VOLT_4954_Re    -0.29715054606310276   
VOLT_4954_Im    0.009744286602451928   
VOLT_5489_Re    0.23247247959767167   
VOLT_5489_Im    -0.12741900601060202   
VOLT_60_Re    0.1861304279769426   
VOLT_60_Im    -0.10340294524665615   
VOLT_2256_Re    -0.26426693433117904   
VOLT_2256_Im    0.06312037100211133   
VOLT_413_Re    -0.26585802176384693   
VOLT_413_Im    0.005269754691668758   
VOLT_2982_Re    0.14720045376767119   
VOLT_2982_Im    -0.2021893766308315   
VOLT_74_Re    -0.35616702988514615   
VOLT_74_Im    -0.002142115783993028   
VOLT_955_Re    -0.3334779356599057   
VOLT_955_Im    0.00012207697333095494   
VOLT_626_Re    -0.22445268962991083   
VOLT_626_Im    0.12809003388913837   
VOLT_4520_Re    -0.0028913445531233758   
VOLT_4520_Im    -0.2274062700647304   
VOLT_4846_Re    -0.24995729012213933   
VOLT_4846_Im    -0.015669709970120172   
