#Variable    Value 
Shunt_1360    6.206405153680315e-6 
Shunt_250    2.9496246174847925e-5 
Shunt_766    0.4976378304767894 
Shunt_1363    5.056957436924752e-6 
Shunt_249    1.9982912547544636e-5 
Shunt_1362    6.325117843755019e-6 
Shunt_834    4.627187250926377e-6 
Shunt_1082    3.883772807049629e-6 
Shunt_1373    4.830984733945446e-6 
Shunt_247    4.846654495033026e-5 
Shunt_1100    4.5757679024741285e-6 
Shunt_431    0.44437546168884007 
Shunt_796    4.010808352888795e-6 
Shunt_995    5.255565808178962e-6 
Shunt_163    6.40439529838582e-6 
Shunt_590    7.848009374748573e-6 
Shunt_540    0.30814807955946494 
Shunt_240    0.4121387461836813 
Shunt_745    1.1240024889768068e-5 
Shunt_1132    5.232932947010598e-6 
Shunt_1195    6.258840753062719e-6 
Shunt_36    0.14047174943518187 
Shunt_248    0.4341336619183784 
Shunt_301    5.033641000016844e-6 
Shunt_452    0.5718062448718145 
Shunt_819    5.2088834505819795e-6 
Shunt_283    4.616916303832844e-6 
Shunt_338    7.294471011441504e-5 
Shunt_820    5.401664069408028e-6 
Shunt_1328    1.0305240525044022e-5 
Shunt_116    0.6238555404319492 
Shunt_994    5.426072531578531e-6 
Shunt_1361    6.523067917832822e-6 
Shunt_1374    5.03069793675719e-6 
Shunt_875    0.009550674466516288 
Shunt_361    0.23504804760316741 
Shunt_241    0.43889629277221137 
Shunt_788    4.452936363904318e-6 
Shunt_767    0.55506718747607 
Shunt_71    4.005962836967388e-6 
Shunt_47    3.049447694450129e-6 
Shunt_1150    0.46883124693635764 
Shunt_195    0.3186628383845423 
Shunt_1372    5.0612458618845905e-6 
Shunt_1274    4.85300371536589e-6 
VOLT_1153_Re    0.10455380042024101   
VOLT_1153_Im    -0.6988703967749935   
VOLT_1632_Re    0.6881590930696809   
VOLT_1632_Im    2.9103633124653865e-7   
VOLT_1142_Re    -0.05073449406468176   
VOLT_1142_Im    0.5252653991938291   
VOLT_565_Re    0.7212871155194744   
VOLT_565_Im    8.565408925204e-5   
VOLT_1404_Re    -0.6727419282025985   
VOLT_1404_Im    0.21723744315602006   
VOLT_1054_Re    0.40876583369648817   
VOLT_1054_Im    -0.5769734353592881   
VOLT_1066_Re    -0.7071327568757663   
VOLT_1066_Im    0.0009353965474175856   
VOLT_280_Re    0.7061310643085653   
VOLT_280_Im    -0.037100701264131286   
VOLT_1523_Re    0.326935869166069   
VOLT_1523_Im    -0.28745819920003246   
VOLT_351_Re    0.706772201647397   
VOLT_351_Im    3.932552377802985e-7   
VOLT_488_Re    -0.43719708885402947   
VOLT_488_Im    0.24686437082177015   
VOLT_1129_Re    -0.11044328288988185   
VOLT_1129_Im    0.5667058454005657   
VOLT_1257_Re    -0.5363945771211914   
VOLT_1257_Im    -0.02553015087573028   
VOLT_855_Re    -0.3378749953139391   
VOLT_855_Im    -0.46883401941216357   
VOLT_1849_Re    -0.10940486034849359   
VOLT_1849_Im    0.6554443660244368   
VOLT_60_Re    0.7272791535569559   
VOLT_60_Im    7.959828376839027e-5   
VOLT_305_Re    0.7202198081921368   
VOLT_305_Im    0.0017490318724565825   
VOLT_1718_Re    0.6980795194909443   
VOLT_1718_Im    0.0741715659864452   
VOLT_1301_Re    0.7070803994492189   
VOLT_1301_Im    7.872485806865171e-7   
VOLT_736_Re    -0.19556649386228117   
VOLT_736_Im    0.38945367807312414   
VOLT_403_Re    -0.7070874169982934   
VOLT_403_Im    0.00024786333619692986   
VOLT_808_Re    -0.28789616638464166   
VOLT_808_Im    0.645734030257811   
VOLT_973_Re    0.13658366917159231   
VOLT_973_Im    -0.5604324348090707   
VOLT_1712_Re    0.671619420884255   
VOLT_1712_Im    0.07595294004702781   
VOLT_1049_Re    -0.5031304788760974   
VOLT_1049_Im    -0.19285052901800193   
