#Variable    Value 
Shunt_8313    0.00030702522712111927 
Shunt_494    0.00034107243202391154 
Shunt_12544    0.0002882150568272222 
Shunt_13564    0.000315693845310382 
Shunt_7924    0.00033175079236789706 
Shunt_7217    0.00030035746061839516 
Shunt_9269    0.00028873697403440754 
Shunt_6147    0.00035821014014726887 
Shunt_3379    0.0003327156307538178 
Shunt_8500    0.0003284286232907951 
Shunt_2774    0.0003042183274706988 
Shunt_2781    0.0003250625946541984 
Shunt_1158    0.00029448581247523464 
Shunt_2749    0.00029730328763662205 
Shunt_4878    0.0003167003525509567 
Shunt_10572    0.00030683103077998764 
Shunt_4241    0.0003013539531794662 
Shunt_1019    0.000283042601198548 
Shunt_3896    0.0003211938289836866 
Shunt_2731    0.0003431336052486922 
Shunt_10569    0.0002768118603587724 
Shunt_5550    0.0003277412890557873 
Shunt_9029    0.00032203636477517376 
Shunt_4416    0.0003413722810992814 
Shunt_4213    0.0003093014796442718 
Shunt_5803    0.00031689966466701385 
Shunt_10314    0.0003349201498275748 
Shunt_6634    0.0003126504682187352 
Shunt_3616    0.00035065115793275043 
Shunt_2427    0.0003097621182057096 
Shunt_3628    0.00029816442353527983 
Shunt_11719    0.000307365187883439 
Shunt_12017    0.000329981453551901 
Shunt_2499    0.00031758923241920824 
Shunt_4874    0.0003103475230821534 
Shunt_2272    0.00027893502003529874 
Shunt_9402    0.00036442754280898614 
Shunt_1191    0.00029082822865716615 
Shunt_8511    0.00034701438548455203 
Shunt_7047    0.0002910945813322033 
Shunt_12831    0.00031102840064260886 
Shunt_8718    0.00033150387556438014 
Shunt_4740    0.0003462934390114352 
Shunt_8284    0.00031514276150188355 
Shunt_13403    0.0002952445517458369 
Shunt_1384    0.0003517653733637964 
Shunt_9790    0.0003156109673761899 
Shunt_9170    0.0003283164617819813 
Shunt_12890    0.0003407875499324978 
Shunt_6699    0.0003071914026774188 
Shunt_13234    0.0003204218493098666 
Shunt_8821    0.0003088060174505892 
Shunt_12326    0.00036425165630280833 
Shunt_7332    0.0003497336846926548 
Shunt_9367    0.0003317476244664504 
Shunt_13217    0.00034563571349970805 
Shunt_11207    0.0003374081596855227 
Shunt_12113    0.00030631529105886276 
Shunt_5046    0.00032862857352145984 
Shunt_13116    0.0003214737877547557 
Shunt_12891    0.0003065252535609132 
Shunt_2576    0.00034504005899974407 
Shunt_12362    0.00030983211654596397 
Shunt_12293    0.026235366899214546 
Shunt_5740    0.0003249702672479349 
Shunt_6860    0.00032658758560285444 
Shunt_5248    0.0003074866623275969 
Shunt_6714    0.00031034352472872714 
Shunt_11302    0.0003209337763760937 
Shunt_517    0.0003256948717664477 
Shunt_11053    0.0003481451306419016 
Shunt_3660    0.0003319387401773261 
Shunt_469    0.0003023897296501812 
Shunt_6741    0.00032364364235642785 
Shunt_11331    0.0003309006395739724 
Shunt_13599    0.00042089923082555796 
Shunt_8334    0.0002786847319351003 
Shunt_12407    0.0003347388078928381 
Shunt_8244    0.0003256688497230962 
Shunt_8339    0.0002935640328058789 
Shunt_4482    0.00028773875872871256 
Shunt_1026    0.0003131480259084083 
Shunt_10874    0.00034294002996089175 
Shunt_1842    0.0003535216529015722 
Shunt_12389    0.00031905813159283764 
Shunt_10244    0.0003544549009055846 
Shunt_8497    0.000332577017116737 
Shunt_4966    0.00035725971665119094 
Shunt_5647    0.0002896733323445379 
Shunt_7597    0.0003533678657283063 
Shunt_10597    0.00032367383059079093 
Shunt_4148    0.00031080667699733027 
Shunt_12800    0.0003357347533503517 
Shunt_9253    0.0003104342973462026 
Shunt_13621    0.00032568212871686414 
Shunt_3443    0.0003287022832112918 
Shunt_6311    0.000351300246105881 
Shunt_11824    0.00029233750284263037 
Shunt_12626    0.0002883126509224806 
Shunt_3079    0.0002908299881401231 
Shunt_9812    0.000332474450474147 
Shunt_4930    0.00033580593619191913 
Shunt_3340    0.0002946680547665413 
Shunt_1226    0.0003038692450619977 
Shunt_417    0.000339238797810176 
Shunt_3027    0.00032210136944492993 
Shunt_8796    0.0003152491214180768 
Shunt_13629    0.000323004659972143 
Shunt_7424    0.0003283811171838121 
Shunt_7415    0.00030846475815526783 
Shunt_5433    0.00035361836803510466 
Shunt_6915    0.0003161753443577909 
Shunt_9895    0.00032888006278869144 
Shunt_1596    0.0002987192914647652 
Shunt_1005    0.0003463591003270569 
Shunt_2904    0.0003487484649064375 
Shunt_696    0.00033814641235648993 
Shunt_1243    0.0002820817713637602 
Shunt_1571    0.00035513658860940767 
Shunt_10168    0.00032047398705882995 
Shunt_10277    0.0003177998952536968 
Shunt_5516    0.0003227442933904938 
Shunt_11742    0.0003598028761968605 
Shunt_2478    0.0003098690985658758 
Shunt_5694    0.0002886484175887593 
Shunt_1550    0.00033083022220659595 
Shunt_6239    0.0002937003410587129 
Shunt_863    0.000313124765598866 
Shunt_5293    0.000328904001348159 
Shunt_12853    0.00032304606296076264 
Shunt_4632    0.0003529937782574739 
Shunt_1692    0.0003129318932777278 
Shunt_5211    0.00031522479451926854 
Shunt_8258    0.0002941390178571008 
Shunt_11269    0.0003166646877554203 
Shunt_1108    0.00035166158466691587 
Shunt_5688    0.00032755944881047115 
Shunt_5877    0.0003175353146706388 
Shunt_8631    0.0003127985408383649 
Shunt_11964    0.0003117605967750734 
Shunt_2221    0.00028159389839616216 
Shunt_7829    0.00034455872363046346 
Shunt_8684    0.0003085095520308416 
Shunt_9286    0.0003192848655315239 
Shunt_2674    0.00029871184683267555 
Shunt_6082    0.00043235055844059104 
Shunt_8992    0.00035876572085229754 
Shunt_6237    0.0003016144737789822 
Shunt_6472    0.0003004422987170037 
Shunt_237    0.0002999566403248822 
Shunt_8358    0.00029500434808403737 
Shunt_5985    0.000330206290484219 
Shunt_10226    0.0003157721874166992 
Shunt_2962    0.00032410640388067413 
Shunt_6077    0.0003372394928062779 
Shunt_8297    0.00032886004214504114 
Shunt_6364    0.000328132336589029 
Shunt_7112    0.00033804586803289115 
Shunt_3221    0.00034039978032401246 
Shunt_4685    0.00030491360824994826 
Shunt_6460    0.0003552614012879885 
Shunt_12826    0.0003388388733348544 
Shunt_6972    0.00033656401392978785 
Shunt_3402    0.00031466144530047254 
Shunt_11421    0.0003400332394263588 
Shunt_9468    0.00032059931276940854 
Shunt_10131    0.00028487949751384727 
Shunt_7958    0.0003431700642592756 
Shunt_13537    0.00031045450144325676 
Shunt_8075    0.00030993345967292773 
Shunt_1149    0.0003199171879437318 
Shunt_6857    0.0002902346224292413 
Shunt_6403    0.00035292214326363504 
Shunt_1621    0.0003607366506720119 
Shunt_12767    0.0003458011115747043 
Shunt_7573    0.0003213732596995377 
Shunt_9947    0.00035711972720713016 
Shunt_1909    0.00036759635617347893 
Shunt_6730    0.0002967967594771367 
Shunt_4835    0.0002952849808567912 
Shunt_5972    0.000307442100978863 
Shunt_4435    0.00031881149066295943 
Shunt_13455    0.0003176056636754113 
Shunt_1099    0.00031475575502779604 
Shunt_5299    0.00040759411595094335 
Shunt_1276    0.00031234501654427046 
Shunt_8139    0.0003943695323422278 
Shunt_8594    0.0003499468537254527 
Shunt_2220    0.0003354749990460709 
Shunt_5047    0.00031898561053358325 
Shunt_13598    0.00032271054074552586 
Shunt_10296    0.00031187235875945903 
Shunt_2040    0.00029129797077884244 
Shunt_8416    0.0003387239066715976 
Shunt_7664    0.0003435115766908738 
Shunt_6479    0.0003758922591615289 
Shunt_7647    0.00030518498641665974 
Shunt_6313    0.00030635255250510257 
Shunt_9526    0.0003512722361681069 
Shunt_8363    0.0003455849554982819 
Shunt_759    0.0003086117442311891 
Shunt_12573    0.0002974656041746608 
Shunt_5273    0.00031248497579782695 
Shunt_10706    0.000374691095699046 
Shunt_1058    0.0003554594501135552 
Shunt_8673    0.0002947755527808085 
Shunt_1153    0.0003081111012135212 
Shunt_10968    0.0002924927594714466 
Shunt_4935    0.0003195424570969804 
Shunt_9580    0.0003634180830876736 
Shunt_10379    0.00031648490837382555 
Shunt_12684    0.0003153671374492951 
Shunt_12418    0.0003466709885799764 
Shunt_8917    0.00031546825620109366 
Shunt_11435    0.0003167225940795657 
Shunt_6958    0.00028379277765719113 
Shunt_2442    0.00033496368126792995 
Shunt_7757    0.0002761326035054744 
Shunt_13260    0.0003327581397815806 
Shunt_12130    0.0003351520872070076 
Shunt_1038    0.00028928128458004785 
Shunt_7546    0.00037833105875581183 
Shunt_11260    0.00032222532154284485 
Shunt_6443    0.00035601116837523096 
Shunt_3748    0.0003018817342404051 
Shunt_10091    0.00032097375058965077 
