#Variable    Value 
Shunt_1780    4.100839532286309e-6 
Shunt_4106    0.26271107282531425 
Shunt_1778    1.9306345924875954e-5 
Shunt_4607    0.5068220969859655 
Shunt_4417    2.1744979362073764e-6 
Shunt_2390    2.40962730538795e-6 
Shunt_4458    2.4185480002621964e-6 
Shunt_1457    6.342057189086373e-6 
Shunt_2769    4.0716666683134176e-5 
Shunt_2550    2.892244388954098e-6 
Shunt_1477    2.2206945483205354e-6 
Shunt_1533    4.313214683873023e-6 
Shunt_914    3.3604835291341193e-6 
Shunt_2810    3.693278010811792e-6 
Shunt_152    2.630866552294193e-6 
Shunt_1228    9.378645461123297e-6 
Shunt_4742    2.7451398453686844e-6 
Shunt_216    0.7588683848628847 
Shunt_4547    2.2441582417086664e-6 
Shunt_2966    2.2115001778922146e-6 
Shunt_6155    2.7173027468883726e-6 
Shunt_3179    3.204102508099434e-6 
Shunt_3667    4.793561736228764e-6 
Shunt_2470    3.9822937414847206e-6 
Shunt_1134    6.1736693758287475e-6 
Shunt_180    3.627356153317811e-6 
Shunt_2722    3.1119429842330445e-6 
Shunt_3321    2.6667244998660813e-6 
Shunt_1597    1.1506458193572952e-5 
Shunt_4244    4.476716228336807e-6 
Shunt_933    4.00937683678439e-6 
Shunt_6115    1.8027226351103658e-6 
Shunt_4473    2.2426561299783605e-6 
Shunt_4005    2.5795635468682113e-6 
Shunt_4257    2.549135587379346e-6 
Shunt_2485    1.7590589882425627e-5 
Shunt_1689    2.584859838944394e-6 
Shunt_4954    2.8542116160893462e-6 
Shunt_1189    7.6255426027009785e-6 
Shunt_4675    4.212391547968527e-6 
Shunt_140    1.5280067130409861e-6 
Shunt_1755    2.8644610497765987e-6 
Shunt_1250    6.0853531666462115e-6 
Shunt_1781    0.8770495060965181 
Shunt_667    2.1646206256507523e-6 
Shunt_2798    2.201885049146696e-6 
Shunt_3540    2.651419647300861e-6 
Shunt_932    3.828185235649166e-6 
Shunt_181    3.462786934431813e-6 
Shunt_6185    2.9152176796403403e-6 
Shunt_3381    2.2322207947352447e-6 
Shunt_2865    4.2382694165282556e-5 
Shunt_4955    2.7877609119771465e-6 
Shunt_3621    2.5187852123235387e-6 
Shunt_4144    0.5429169546550706 
Shunt_2486    0.9999920868250761 
Shunt_3737    5.104165705283258e-6 
Shunt_934    4.329480414802843e-6 
Shunt_3003    1.8694996616204853e-6 
Shunt_1933    3.080011799928542e-6 
Shunt_4771    4.337284237792307e-6 
Shunt_999    2.770656573871659e-6 
