#Variable    Value 
Shunt_1043    5.749588707615522e-7 
Shunt_1227    6.283911944307759e-7 
Shunt_556    7.100941802239544e-7 
Shunt_382    6.269642691799421e-7 
Shunt_555    3.900048573384951e-7 
Shunt_626    4.852939354905352e-7 
Shunt_270    3.9204487786763757e-7 
Shunt_1208    4.747960162388831e-7 
Shunt_986    5.949069906077936e-7 
Shunt_1558    5.672802234500839e-7 
Shunt_1381    4.74846730933685e-7 
Shunt_658    8.049912887210486e-7 
Shunt_548    4.2395614786072973e-7 
Shunt_1051    6.267835732888645e-7 
Shunt_904    7.956879363381095e-7 
Shunt_664    7.835368807559325e-7 
Shunt_1370    5.384504407501016e-7 
Shunt_1845    1.8525933114391733e-6 
Shunt_1978    6.069726166778303e-7 
Shunt_1931    4.126411216389089e-7 
Shunt_218    8.55052037974956e-6 
Shunt_1670    3.6702574014282694e-7 
Shunt_987    0.40395779910740914 
Shunt_156    5.112936908837505e-7 
Shunt_271    3.6991872254628844e-7 
Shunt_1843    4.731512368877156e-7 
Shunt_1553    1.2270177003480906e-6 
Shunt_237    4.1939416027023607e-7 
Shunt_1684    2.233927465242397e-6 
Shunt_1271    4.1854166155563543e-7 
Shunt_498    1.1724826636101361e-6 
Shunt_1685    3.673854241115363e-7 
Shunt_315    3.957813866017228e-7 
Shunt_370    4.3751450775302737e-7 
Shunt_436    0.31144846442563 
Shunt_1960    6.046954787490824e-7 
Shunt_673    2.0007925535819785e-5 
Shunt_29    4.6563778779694836e-7 
Shunt_1142    4.135183519233668e-7 
Shunt_33    3.5789965940165125e-7 
Shunt_385    5.333073703350532e-7 
Shunt_1499    8.911716863743823e-7 
Shunt_247    3.805482170227019e-7 
Shunt_829    4.0321349154196157e-7 
Shunt_1279    4.7006344194533017e-7 
Shunt_350    4.5167277286339356e-7 
Shunt_1483    6.022675475088127e-7 
Shunt_541    6.015140281922635e-7 
Shunt_1702    3.810911686235484e-7 
Shunt_1947    4.1328542974207795e-7 
Shunt_12    3.930062128622827e-7 
Shunt_1257    5.074602835758807e-7 
Shunt_154    4.3758653383715084e-7 
Shunt_492    0.2730612348695967 
Shunt_1881    6.763678294226375e-7 
Shunt_881    0.41289866327689134 
Shunt_1999    4.784087209469605e-7 
Shunt_243    4.2715421475237617e-7 
Shunt_951    6.421689928778779e-7 
Shunt_1846    5.647750155249405e-7 
Shunt_686    3.5455176486908683e-7 
Shunt_782    0.22882159922379522 
Shunt_1075    8.727023642684311e-7 
Shunt_27    5.096967692934172e-7 
Shunt_517    5.848657945182678e-7 
Shunt_1991    6.10288908620287e-7 
Shunt_911    1.030946436361902e-6 
Shunt_1146    4.3461498523335427e-7 
Shunt_1644    8.088797644713107e-7 
Shunt_737    6.812746643170419e-7 
Shunt_10    3.403854174570527e-7 
Shunt_497    6.401434235187088e-7 
Shunt_7    3.3032089456848883e-7 
Shunt_1681    4.731404473535234e-7 
Shunt_160    5.545616340431749e-7 
Shunt_1856    4.842558371821265e-7 
Shunt_100    3.7428589293576497e-7 
Shunt_704    1.5604195507106385e-6 
Shunt_544    4.802231037212e-7 
Shunt_456    7.340082189133515e-7 
Shunt_1859    1.5077010528525304e-6 
Shunt_20    3.676396251928186e-7 
Shunt_1074    6.399753924023565e-7 
Shunt_274    4.7370007286654425e-7 
Shunt_1606    6.478519797879843e-7 
Shunt_407    4.7322141470856084e-7 
Shunt_726    7.725352399107929e-7 
Shunt_976    3.9801746751781817e-7 
Shunt_101    3.6974943365435804e-7 
Shunt_1062    4.169338403716096e-7 
Shunt_254    7.437228489204667e-7 
Shunt_1497    9.786099154010516e-7 
Shunt_1805    5.268943404552487e-7 
Shunt_458    0.9999983483755638 
Shunt_275    4.285155527966565e-7 
Shunt_1201    3.96732161877268e-7 
Shunt_1153    3.6437488894875416e-7 
Shunt_1853    6.367530744659951e-7 
Shunt_1965    6.304280630314859e-7 
Shunt_1865    5.795493809782151e-7 
Shunt_410    0.999999314501896 
Shunt_1047    1.3470693215014323e-6 
Shunt_655    7.364478589049461e-7 
Shunt_545    4.2141619139717875e-7 
Shunt_1643    7.635481567535752e-7 
Shunt_784    4.3047735924208215e-7 
Shunt_473    0.24651993511213433 
Shunt_756    3.856703520849909e-7 
Shunt_16    3.6835016186176903e-7 
Shunt_1646    4.476989375086005e-7 
Shunt_578    3.785332156928398e-7 
Shunt_567    3.7330682179209625e-7 
Shunt_1862    5.165936550933509e-7 
Shunt_367    4.3125288694883714e-7 
Shunt_642    6.263743232275709e-7 
Shunt_663    1.1562391317292981e-6 
Shunt_1406    4.995905191721902e-7 
Shunt_1708    7.245524569960523e-7 
Shunt_108    0.4610931531651618 
Shunt_375    5.754683578536177e-7 
Shunt_1404    9.776332596669436e-7 
Shunt_943    4.025126417101065e-7 
Shunt_1141    4.7441781524767254e-7 
Shunt_854    1.0932678148258106e-6 
Shunt_366    4.822502332028874e-7 
Shunt_371    3.850782881441287e-7 
Shunt_1005    8.415840341560317e-7 
Shunt_1950    4.535697613243311e-7 
Shunt_312    3.683911898760621e-7 
Shunt_1336    4.7068498548093155e-7 
Shunt_501    4.257005306456993e-7 
Shunt_1436    1.975278737829364e-6 
Shunt_511    5.64728995517979e-7 
Shunt_86    3.6397298885042847e-7 
Shunt_83    3.4753401348899375e-7 
Shunt_87    3.669442067470703e-7 
Shunt_56    4.3385692711724383e-7 
Shunt_348    4.552948999657929e-7 
Shunt_1177    3.856945850553202e-7 
Shunt_491    6.469407200744476e-7 
Shunt_81    3.6498794293590697e-7 
Shunt_46    3.884977662418375e-7 
Shunt_187    4.621756593808248e-7 
Shunt_201    4.3359696811877486e-7 
Shunt_1591    2.743152783978848e-6 
Shunt_457    4.889773791216602e-7 
Shunt_500    4.6203700427828236e-7 
Shunt_223    3.7891915799553415e-7 
Shunt_19    3.995962211231364e-7 
VOLT_1153_Re    -0.01295229025942405   
VOLT_1153_Im    -0.021854131132205506   
VOLT_1632_Re    0.07915027449360974   
VOLT_1632_Im    0.3995863865798389   
VOLT_1142_Re    0.08487752353684908   
VOLT_1142_Im    -0.22550253916146107   
VOLT_565_Re    -0.21100851043246963   
VOLT_565_Im    -0.09855851794503372   
VOLT_1404_Re    -0.122476878095064   
VOLT_1404_Im    0.08148390968465988   
VOLT_1054_Re    -0.11306673677102236   
VOLT_1054_Im    -0.17025730698065636   
VOLT_1066_Re    -0.25217971996130734   
VOLT_1066_Im    0.03630247844566429   
VOLT_280_Re    -0.28047950120048365   
VOLT_280_Im    0.013747407125396648   
VOLT_1523_Re    -0.3165295478045456   
VOLT_1523_Im    0.004375556173593596   
VOLT_351_Re    0.0298744812267136   
VOLT_351_Im    -0.2140792813663886   
VOLT_488_Re    -0.2740104036587456   
VOLT_488_Im    0.13728062314973202   
VOLT_1129_Re    -0.0928945879830707   
VOLT_1129_Im    -0.18658826889252506   
VOLT_1257_Re    -0.2491291266870906   
VOLT_1257_Im    -0.04993409328688049   
VOLT_855_Re    -0.22698306056415926   
VOLT_855_Im    0.006203079258153507   
VOLT_1849_Re    -0.09101802523699415   
VOLT_1849_Im    0.3398605029382195   
VOLT_60_Re    -0.2748333122078272   
VOLT_60_Im    0.021240162048969283   
VOLT_305_Re    -0.11397542567248439   
VOLT_305_Im    -0.1414542055601282   
VOLT_1718_Re    -0.21954036722603368   
VOLT_1718_Im    -0.006724800390794401   
VOLT_1301_Re    -0.22163239615139252   
VOLT_1301_Im    5.167249622007602e-7   
VOLT_736_Re    -0.12177311186091552   
VOLT_736_Im    0.2597889466664908   
VOLT_403_Re    -0.12964404435651117   
VOLT_403_Im    0.004389436604408607   
VOLT_808_Re    -0.16034421792456932   
VOLT_808_Im    0.2742794986014844   
VOLT_973_Re    0.13346184463125016   
VOLT_973_Im    -0.10250933123490301   
VOLT_1712_Re    -0.21623521755504124   
VOLT_1712_Im    -4.432181439601204e-8   
VOLT_1049_Re    0.08598098069315283   
VOLT_1049_Im    -0.3667600132631739   
VOLT_1157_Re    -0.0016479648591221903   
VOLT_1157_Im    -0.07298224156301657   
VOLT_1859_Re    0.15212206312601553   
VOLT_1859_Im    0.14960550346838528   
VOLT_413_Re    -0.09928860932693111   
VOLT_413_Im    -0.17097696143269914   
VOLT_626_Re    -0.30793934000561113   
VOLT_626_Im    -0.0010583954502778876   
VOLT_74_Re    -0.06135001228523153   
VOLT_74_Im    0.2978325546553227   
VOLT_955_Re    0.23989857929524888   
VOLT_955_Im    -0.1611787806555056   
VOLT_984_Re    0.3185543729478369   
VOLT_984_Im    0.15599279918565773   
VOLT_1701_Re    0.11947537416234648   
VOLT_1701_Im    -0.23792224239001333   
VOLT_1901_Re    -0.07987623724285205   
VOLT_1901_Im    0.30851839353939337   
VOLT_431_Re    -0.3783599199747751   
VOLT_431_Im    0.01838079129015706   
VOLT_1366_Re    -0.04798974890416463   
VOLT_1366_Im    -0.07179005649052969   
VOLT_1608_Re    -0.02634192258612412   
VOLT_1608_Im    -0.14741553507628086   
VOLT_1634_Re    -0.12513947776871692   
VOLT_1634_Im    0.07649541654486822   
VOLT_578_Re    -0.17750206134478475   
VOLT_578_Im    -0.19738522014076137   
VOLT_193_Re    -0.028806646374392862   
VOLT_193_Im    0.017083213081352997   
VOLT_223_Re    0.0331134282656608   
VOLT_223_Im    -0.20467685724228765   
VOLT_1258_Re    -0.14293166860391848   
VOLT_1258_Im    0.034086882340979   
VOLT_1829_Re    -0.10042982122797903   
VOLT_1829_Im    0.33963357816828893   
VOLT_1839_Re    0.05135022365345839   
VOLT_1839_Im    0.16804089292656263   
VOLT_1902_Re    -0.20789064884151684   
VOLT_1902_Im    -0.020882042127901995   
VOLT_882_Re    -0.1286906527133804   
VOLT_882_Im    -0.21459143222505928   
VOLT_1687_Re    0.03021329064911638   
VOLT_1687_Im    -0.17987896664907543   
VOLT_1351_Re    -0.23249657527492013   
VOLT_1351_Im    0.0035267333418573755   
VOLT_1948_Re    -0.12259283983420215   
VOLT_1948_Im    0.13705791048562954   
VOLT_1443_Re    0.031954107708524276   
VOLT_1443_Im    -0.1834027445910624   
VOLT_24_Re    -0.16210179925586746   
VOLT_24_Im    0.056886758640445054   
VOLT_169_Re    -0.07394846200370295   
VOLT_169_Im    -0.1968378898718559   
VOLT_1323_Re    0.14282160031365224   
VOLT_1323_Im    -0.2804703374250575   
VOLT_1451_Re    0.005427433140849908   
VOLT_1451_Im    -0.1322106254614592   
VOLT_1683_Re    -0.187290552369851   
VOLT_1683_Im    0.015790013424955732   
VOLT_1068_Re    -0.1461956899058465   
VOLT_1068_Im    0.029264857237794886   
VOLT_580_Re    -0.005816056123312638   
VOLT_580_Im    -0.1357305000965656   
VOLT_1750_Re    -0.2055320896832689   
VOLT_1750_Im    0.027444162745471467   
VOLT_1082_Re    -0.37467595197940373   
VOLT_1082_Im    0.005705536839571318   
VOLT_1618_Re    -0.26796682758121565   
VOLT_1618_Im    -0.009401514196883978   
VOLT_3_Re    -0.2429550549805586   
VOLT_3_Im    0.03663276152783376   
VOLT_326_Re    0.24346335732649144   
VOLT_326_Im    -0.07001627458013544   
VOLT_1326_Re    -0.15793854760902246   
VOLT_1326_Im    0.06754803789890892   
VOLT_417_Re    -0.34266615737692746   
VOLT_417_Im    -0.016197145307213192   
VOLT_1847_Re    0.15288323321570318   
VOLT_1847_Im    0.14900260788513467   
VOLT_686_Re    0.07116572612843476   
VOLT_686_Im    -0.37246373543073   
VOLT_772_Re    -0.23652548156081563   
VOLT_772_Im    -0.05209029874041779   
VOLT_1127_Re    0.08337668627200029   
VOLT_1127_Im    -0.24964242919228566   
VOLT_1277_Re    -0.14436685266006563   
VOLT_1277_Im    0.03135528896653336   
VOLT_1161_Re    0.15420870713239063   
VOLT_1161_Im    0.13863888973295013   
VOLT_356_Re    0.18270623521094645   
VOLT_356_Im    -0.0768476490488411   
VOLT_50_Re    -0.06559166502076892   
VOLT_50_Im    -0.3503260236040351   
VOLT_9_Re    -0.28033305807556363   
VOLT_9_Im    -5.527430092319383e-7   
VOLT_267_Re    0.06104241393305458   
VOLT_267_Im    0.29351639229859783   
VOLT_724_Re    0.1700849586704339   
VOLT_724_Im    0.10187732748533457   
VOLT_1480_Re    0.025287496046231588   
VOLT_1480_Im    -0.1787395459299776   
VOLT_1329_Re    -0.2276857312149855   
VOLT_1329_Im    0.013858320322847159   
VOLT_1832_Re    0.12317910373906552   
VOLT_1832_Im    -0.23816250523818944   
VOLT_20_Re    0.04829632040761236   
VOLT_20_Im    0.12589386016732718   
VOLT_437_Re    -0.1688529106809168   
VOLT_437_Im    -0.01526893628597725   
VOLT_560_Re    -0.07562359385464781   
VOLT_560_Im    0.236944877079102   
VOLT_801_Re    -0.08014396130350639   
VOLT_801_Im    -0.0182435133620748   
VOLT_1265_Re    -0.18785230069743591   
VOLT_1265_Im    0.25636453846618684   
VOLT_636_Re    0.005868295291326246   
VOLT_636_Im    0.2579391356100357   
VOLT_1524_Re    -0.0361953748893485   
VOLT_1524_Im    -0.04010572045825858   
VOLT_1405_Re    0.13346259370489263   
VOLT_1405_Im    -0.1746261702852841   
VOLT_1984_Re    -0.21382666576305728   
VOLT_1984_Im    -0.017528417922111798   
VOLT_1705_Re    -0.10369036848617448   
VOLT_1705_Im    0.13349881501580615   
VOLT_1065_Re    -0.1631615103317698   
VOLT_1065_Im    0.06276427951936159   
VOLT_767_Re    0.2669246475382747   
VOLT_767_Im    -0.05441546530280191   
VOLT_791_Re    -0.17726628667858063   
VOLT_791_Im    -0.19917467938348898   
VOLT_2000_Re    0.004754961374257185   
VOLT_2000_Im    -0.18342000000015632   
VOLT_608_Re    0.010377344220191459   
VOLT_608_Im    0.28490323541005635   
VOLT_1507_Re    -0.21572673743839618   
VOLT_1507_Im    -0.04247715499736405   
VOLT_1402_Re    0.10000512625404158   
VOLT_1402_Im    -0.16654563729985275   
VOLT_723_Re    -0.2510545773758521   
VOLT_723_Im    -0.003978738948786322   
VOLT_762_Re    0.048167628960638725   
VOLT_762_Im    -0.06424989892842581   
VOLT_1463_Re    0.02569505653330016   
VOLT_1463_Im    0.2188509551251666   
VOLT_237_Re    -0.1401404804295036   
VOLT_237_Im    -0.08629479968860734   
VOLT_200_Re    0.1545959238172329   
VOLT_200_Im    -0.13613414565513454   
VOLT_1354_Re    -0.23569466272127126   
VOLT_1354_Im    -0.004936329043296457   
VOLT_1482_Re    0.02891124518176054   
VOLT_1482_Im    -0.17991125200005792   
VOLT_390_Re    0.15256660378716264   
VOLT_390_Im    -0.09478961570163529   
VOLT_266_Re    0.000292613562904632   
VOLT_266_Im    0.04643892443861002   
VOLT_174_Re    0.1621579179982728   
VOLT_174_Im    -0.12921307362810538   
VOLT_861_Re    -0.015702910810619142   
VOLT_861_Im    0.010374320942508208   
VOLT_1660_Re    -0.06649663757422782   
VOLT_1660_Im    0.020951855185686492   
VOLT_163_Re    -0.21909369206469909   
VOLT_163_Im    0.18924756709015386   
VOLT_25_Re    -0.17305297261000668   
VOLT_25_Im    0.02459587595590447   
VOLT_1677_Re    -0.2803121510030769   
VOLT_1677_Im    -0.008197757116005466   
