#Variable    Value 
Shunt_15    0.9132035713056524 
Shunt_100    0.9433783053434172 
Shunt_95    0.9274682342508173 
Shunt_194    0.9999660061531411 
VOLT_58_Re    -0.37262921017792394   
VOLT_58_Im    0.022841787167514213   
VOLT_12_Re    0.5133299863777459   
VOLT_12_Im    0.4863015368084979   
VOLT_57_Re    0.34003386324686696   
VOLT_57_Im    -0.4429422983468718   
VOLT_60_Re    -0.26436770562820194   
VOLT_60_Im    -0.32217627107730934   
VOLT_76_Re    0.7119800860788951   
VOLT_76_Im    5.80373338035568e-7   
VOLT_153_Re    0.7100102969935533   
VOLT_153_Im    1.528706651036432e-7   
VOLT_78_Re    0.7071067753113921   
VOLT_78_Im    5.501013185207872e-7   
VOLT_125_Re    -0.5791178972725617   
VOLT_125_Im    0.41423821220817897   
VOLT_10_Re    -0.1046476103158739   
VOLT_10_Im    -0.6989728019585418   
VOLT_92_Re    -0.3048880375186765   
VOLT_92_Im    0.6379994275719998   
VOLT_74_Re    0.3300978282963014   
VOLT_74_Im    -0.06476405440066048   
VOLT_139_Re    -0.4875480410632634   
VOLT_139_Im    -0.30608420531752273   
VOLT_113_Re    -0.19121087092308073   
VOLT_113_Im    0.06640560212180277   
VOLT_29_Re    -0.6309571254087577   
VOLT_29_Im    0.11316823299929536   
VOLT_193_Re    -0.39699661635079886   
VOLT_193_Im    0.10120501516546314   
VOLT_24_Re    -0.4230634680441235   
VOLT_24_Im    0.5665619408712965   
VOLT_84_Re    -0.4933332166813478   
VOLT_84_Im    -0.28412601712584423   
VOLT_169_Re    -0.7065401187406944   
VOLT_169_Im    0.02830264005611203   
VOLT_147_Re    0.7126538596382295   
VOLT_147_Im    1.4605967765646318e-7   
VOLT_172_Re    -0.34027831937249536   
VOLT_172_Im    -0.46599351056577687   
VOLT_101_Re    -0.47389705553048167   
VOLT_101_Im    0.09370798189515168   
VOLT_65_Re    0.7106034724065788   
VOLT_65_Im    1.3129599256471592e-7   
VOLT_3_Re    0.47008521926761043   
VOLT_3_Im    -0.2641980023187654   
VOLT_9_Re    -0.15537631675612287   
VOLT_9_Im    -0.12165368549715445   
VOLT_50_Re    -0.5667807711576014   
VOLT_50_Im    0.42719655597948825   
VOLT_138_Re    -0.18799149846334598   
VOLT_138_Im    0.11982488625820994   
VOLT_20_Re    -0.03200305232954414   
VOLT_20_Im    0.7063733064946861   
VOLT_118_Re    -0.25163360235666055   
VOLT_118_Im    0.33283532263594995   
VOLT_94_Re    0.25416842006073453   
VOLT_94_Im    0.6605879217498937   
VOLT_90_Re    -0.31903390527331127   
VOLT_90_Im    0.6379049363351333   
VOLT_95_Re    -0.21767737248865907   
VOLT_95_Im    0.5353939125032995   
VOLT_167_Re    -0.7095506229626535   
VOLT_167_Im    0.025371279451076235   
VOLT_126_Re    -0.5878155738231758   
VOLT_126_Im    0.4018010562694145   
VOLT_40_Re    0.6483899580716652   
VOLT_40_Im    -0.28208237742692877   
VOLT_200_Re    -0.3938496050503235   
VOLT_200_Im    -0.4211353689539176   
VOLT_189_Re    0.708181977784339   
VOLT_189_Im    1.4286158597471253e-7   
VOLT_174_Re    -0.5015405351945164   
VOLT_174_Im    0.053080399740845594   
VOLT_105_Re    0.7103874141391543   
VOLT_105_Im    1.4744315453705492e-7   
VOLT_111_Re    -0.5724591344904133   
VOLT_111_Im    0.06187191240388872   
VOLT_47_Re    -0.22399731403616466   
VOLT_47_Im    0.5320670844347358   
VOLT_163_Re    -0.6677771979032326   
VOLT_163_Im    0.02709614808883902   
VOLT_17_Re    -0.030859461014898455   
VOLT_17_Im    0.6803777955102478   
VOLT_25_Re    -0.15020599213404043   
VOLT_25_Im    0.00793919439747844   
VOLT_132_Re    -0.5751335436869246   
VOLT_132_Im    2.328949007048897e-8   
VOLT_16_Re    0.7067977480777   
VOLT_16_Im    1.40840124204559e-7   
VOLT_97_Re    -0.17797235628969096   
VOLT_97_Im    -0.502077419712716   
VOLT_49_Re    -0.5680154957629096   
VOLT_49_Im    0.4269082545790527   
VOLT_87_Re    0.1472775766824861   
VOLT_87_Im    -0.5585373183333351   
VOLT_22_Re    -0.3972291710771979   
VOLT_22_Im    0.531863230072545   
VOLT_136_Re    0.7114286395316705   
VOLT_136_Im    1.0865529120622487e-7   
VOLT_121_Re    -0.21246018031762443   
VOLT_121_Im    -0.1284264280162838   
VOLT_192_Re    -0.12945281751522286   
VOLT_192_Im    0.4633689987623375   
VOLT_103_Re    -0.21096319580619816   
VOLT_103_Im    -0.14209839818035924   
VOLT_63_Re    -0.39043873193597556   
VOLT_63_Im    0.2652203901005584   
VOLT_110_Re    -0.5770752308464948   
VOLT_110_Im    9.631441488487819e-8   
VOLT_13_Re    0.5133667057289392   
VOLT_13_Im    0.48623760624601786   
VOLT_21_Re    -0.031865026111105234   
VOLT_21_Im    0.7063485398452023   
VOLT_196_Re    -0.32597635374332745   
VOLT_196_Im    0.6274865853796622   
VOLT_69_Re    -0.6712845454704225   
VOLT_69_Im    0.22551145458207222   
VOLT_41_Re    -0.4724103790740479   
VOLT_41_Im    -0.0003089520112490086   
VOLT_73_Re    -0.6712334425613323   
VOLT_73_Im    0.22563642275837834   
VOLT_154_Re    0.7100105665297762   
VOLT_154_Im    1.5737555948811812e-7   
VOLT_80_Re    0.3125989152204973   
VOLT_80_Im    -0.23694340273160733   
VOLT_7_Re    -0.47427909560495934   
VOLT_7_Im    -0.2778033327280107   
VOLT_140_Re    -0.5696163637871096   
VOLT_140_Im    0.004644755421658498   
VOLT_188_Re    -0.2522380269855438   
VOLT_188_Im    0.12947179649343263   
VOLT_96_Re    0.21642749401989347   
VOLT_96_Im    0.02114045312674967   
VOLT_8_Re    -0.6184144773167364   
VOLT_8_Im    -0.34251891739624146   
VOLT_176_Re    -0.5752143199944976   
VOLT_176_Im    0.012073815039431375   
VOLT_54_Re    0.1169713032439988   
VOLT_54_Im    0.37815361544895126   
VOLT_123_Re    -0.26213556408503413   
VOLT_123_Im    0.12285307924409722   
VOLT_170_Re    -0.7121698897976675   
VOLT_170_Im    0.022622065037231825   
VOLT_133_Re    0.2993483955265929   
VOLT_133_Im    -0.23886204401490022   
VOLT_106_Re    -0.15193539918241425   
VOLT_106_Im    -0.5449156929760172   
VOLT_102_Re    0.3181407445876106   
VOLT_102_Im    -0.03991905355991246   
VOLT_157_Re    0.48468442679682266   
VOLT_157_Im    -0.2848261563310527   
VOLT_45_Re    -0.42759431409804033   
VOLT_45_Im    -0.0534719712694319   
VOLT_2_Re    -0.6318862864601703   
VOLT_2_Im    -0.31723977951360166   
VOLT_81_Re    -0.06667345897278819   
VOLT_81_Im    0.014942452290110358   
VOLT_166_Re    -0.7065401198116661   
VOLT_166_Im    0.02830264009862245   
VOLT_151_Re    0.7100082893353296   
VOLT_151_Im    1.4430645802636365e-7   
VOLT_98_Re    0.39112866518569045   
VOLT_98_Im    0.16351580463581142   
VOLT_32_Re    -0.24467831945750745   
VOLT_32_Im    0.6634207161214856   
VOLT_180_Re    -0.2174480324066925   
VOLT_180_Im    -0.06328272321337235   
VOLT_93_Re    -0.10221102012236576   
