#Variable    Value 
Shunt_2898    1.1950917596860013e-6 
Shunt_4926    0.2268844993095641 
Shunt_1934    9.182293981608553e-7 
Shunt_658    1.381375245303326e-6 
Shunt_6087    1.7952200527934264e-6 
Shunt_4610    0.6957681431490114 
Shunt_2468    2.2469955132109438e-6 
Shunt_3207    1.7086561075155908e-6 
Shunt_14    1.8200673403302654e-6 
Shunt_3539    1.541511763816862e-6 
Shunt_1602    1.6191668611872085e-6 
Shunt_1717    1.2098813376741673e-6 
Shunt_3665    2.383552267203848e-6 
Shunt_152    1.4670297759131682e-6 
Shunt_1782    0.9515409919509398 
Shunt_4416    1.1745220419097214e-6 
Shunt_2483    0.3346076104810016 
Shunt_4460    1.4255760910723893e-6 
Shunt_1135    1.4508499782147598e-5 
Shunt_2548    0.34726295047650607 
Shunt_3873    1.3614767988940644e-6 
Shunt_3678    1.3066506333595599e-6 
Shunt_1251    3.767024348451273e-6 
Shunt_3623    1.8826807268129818e-6 
Shunt_3664    2.3450187144731703e-6 
Shunt_2042    1.6495730376792315e-6 
Shunt_673    1.2641380882559208e-6 
Shunt_1000    1.1038401128778441e-6 
Shunt_4255    1.5304409592425439e-6 
Shunt_3880    1.5021863568499061e-6 
Shunt_1270    1.7733129568137687e-6 
Shunt_3179    0.9999598346905488 
Shunt_4208    1.886960815937728e-6 
Shunt_1483    1.0831354374185308e-6 
Shunt_1459    3.619213683154103e-6 
Shunt_214    0.3274563401510459 
Shunt_1479    1.23901381367534e-6 
Shunt_715    2.2234320520713477e-6 
Shunt_2482    0.9999979398067486 
Shunt_2305    1.4040320923013747e-6 
Shunt_4676    0.9998204459616163 
Shunt_4004    1.367652803971391e-6 
Shunt_1078    1.2434693356498497e-6 
Shunt_716    2.9597574386070795e-6 
Shunt_4310    0.5186888815416184 
Shunt_2768    2.6390795920086274e-6 
Shunt_4142    0.5726880713392598 
Shunt_3321    2.3220631118818416e-6 
Shunt_4550    2.111705812655094e-6 
Shunt_2489    1.4409915752084183e-6 
Shunt_262    1.3541728664937672e-6 
Shunt_1229    0.8779727734261874 
Shunt_4242    2.4648621637407993e-6 
Shunt_171    1.643139282695473e-6 
Shunt_2721    1.0940176148728113e-5 
Shunt_4250    1.4953946597465326e-6 
Shunt_2971    1.4227955903241865e-6 
Shunt_3001    1.1704190239622052e-6 
Shunt_1777    1.6369214037277758e-6 
Shunt_1795    1.3250173475292236e-6 
Shunt_2423    1.6412648815084547e-6 
Shunt_3484    1.7014115145447538e-6 
Shunt_1689    1.8513044037444504e-6 
Shunt_2594    1.741669246420265e-6 
Shunt_2797    1.398677968505949e-6 
Shunt_1175    0.6774075496192583 
Shunt_3555    1.7491763156585144e-6 
Shunt_4008    2.7647974037912137e-6 
Shunt_759    0.9999965204011844 
Shunt_140    1.063057770933488e-6 
Shunt_360    1.2940197190912272e-6 
Shunt_1779    2.7180676923803626e-5 
Shunt_4743    5.181364126940647e-5 
Shunt_452    3.3798369572947924e-6 
Shunt_3163    1.976333842452545e-6 
Shunt_4793    1.5955938712590497e-6 
Shunt_4475    1.1666243057531484e-6 
Shunt_197    1.7245152429028566e-6 
Shunt_3619    2.648433306990557e-6 
Shunt_1781    2.155870417722118e-6 
Shunt_1535    1.0324895688190063e-5 
Shunt_3127    1.5405861599492783e-6 
Shunt_3881    1.7728178852293102e-6 
Shunt_5055    2.6115883047848815e-6 
Shunt_3381    1.3861467501612521e-6 
Shunt_1753    1.3221466291431184e-6 
Shunt_1811    1.5782511474906255e-6 
Shunt_1756    1.3729884824854966e-6 
Shunt_3457    2.0604492565437746e-6 
Shunt_4649    1.771554385802695e-6 
Shunt_4832    1.3230817797991938e-6 
Shunt_3427    1.7483009863325024e-6 
Shunt_3063    1.7541331604071038e-6 
Shunt_1211    3.3410847410023112e-6 
Shunt_2809    0.17101588758041913 
Shunt_1174    2.6490675631693544e-6 
Shunt_3736    2.802786739565824e-6 
Shunt_3559    1.3405470504589368e-6 
Shunt_4141    4.015185478826182e-6 
Shunt_3113    1.7495709129080635e-6 
Shunt_4682    0.5847243895799534 
Shunt_3297    1.2633927853850195e-6 
VOLT_2083_Re    0.09544106251166974   
VOLT_2083_Im    0.23106638000785382   
VOLT_2648_Re    -0.28938737827656574   
VOLT_2648_Im    0.0014678829951804253   
VOLT_1404_Re    0.1754749319270941   
