#Variable    Value 
Shunt_8313    0.00361114103447535 
Shunt_494    0.9970637773141316 
Shunt_12544    0.0011162480080513975 
Shunt_13564    0.0008690429986190526 
Shunt_7924    0.0010250175219435997 
Shunt_7217    0.001136709333318467 
Shunt_9269    0.0007608657138022797 
Shunt_6147    0.0009186758747370962 
Shunt_3379    0.0007702528556022084 
Shunt_8500    0.0009619598310648877 
Shunt_2774    0.0007430368442613726 
Shunt_2781    0.0007302389163485523 
Shunt_1158    0.0028569965965917904 
Shunt_2749    0.003315493999731788 
Shunt_4878    0.0007681286958671429 
Shunt_10572    0.0005289792944734021 
Shunt_4241    0.0008084715864190362 
Shunt_1019    0.000704839430580293 
Shunt_3896    0.002229488601257533 
Shunt_2731    0.0008801404645015557 
Shunt_10569    0.00019642123190635838 
Shunt_5550    0.001267372773239242 
Shunt_9029    0.0008064639869812565 
Shunt_4416    0.9996184688967009 
Shunt_4213    0.0008238453950088317 
Shunt_5803    0.0011988264590282113 
Shunt_10314    0.0007138397349651682 
Shunt_6634    0.0008877199081663377 
Shunt_3616    0.8117273556820229 
Shunt_2427    0.0012837879545896898 
Shunt_3628    0.0007294495730837395 
Shunt_11719    0.936322843653109 
Shunt_12017    0.000865578071081071 
Shunt_2499    0.0008159688021709965 
Shunt_4874    0.0008098520140773683 
Shunt_2272    0.000678522481996265 
Shunt_9402    0.0009299517336126789 
Shunt_1191    0.001114903900585529 
Shunt_8511    0.0008393680963360581 
Shunt_7047    0.0007779835441419869 
Shunt_12831    0.0009390050274420571 
Shunt_8718    0.0008352714962474858 
Shunt_4740    0.9993230540026762 
Shunt_8284    0.0008006421266355601 
Shunt_13403    0.0007411163107358793 
Shunt_1384    0.0016406246176642113 
Shunt_9790    0.0008015748298023421 
Shunt_9170    0.009992447862845293 
Shunt_12890    0.0014963312790925584 
Shunt_6699    0.0005763357986666513 
Shunt_13234    0.0007283296040333626 
Shunt_8821    0.001074899848922064 
Shunt_12326    0.001242176099632491 
Shunt_7332    0.0010278631516329958 
Shunt_9367    0.0007619916425533641 
Shunt_13217    0.0013502702608411388 
Shunt_11207    0.0007836343786312082 
Shunt_12113    0.0011110707810590213 
Shunt_5046    0.0005305764502980056 
Shunt_13116    0.000915942396718818 
Shunt_12891    0.0007878187857750016 
Shunt_2576    0.0007357843591398861 
Shunt_12362    0.0003048054024639897 
Shunt_12293    0.9999666450384184 
Shunt_5740    0.0002810724824979694 
Shunt_6860    0.0007104654519961437 
Shunt_5248    0.0008008480281644258 
Shunt_6714    0.000768014900077576 
Shunt_11302    0.0005037666044311793 
Shunt_517    0.00044086386501801885 
Shunt_11053    0.0007742136961240432 
Shunt_3660    0.001129298663351372 
Shunt_469    0.000670030337830132 
Shunt_6741    0.997010454458092 
Shunt_11331    0.0014257305487798597 
Shunt_13599    0.0021138083630216817 
Shunt_8334    0.0036320402792957016 
Shunt_12407    0.00205985459940143 
Shunt_8244    0.001055044009064774 
Shunt_8339    0.0011194642294793152 
Shunt_4482    0.0010412629538469932 
Shunt_1026    0.0009854811413518888 
Shunt_10874    0.003490307003881262 
Shunt_1842    0.0010086383813278175 
Shunt_12389    0.0011209007708614055 
Shunt_10244    0.0023059891324585953 
Shunt_8497    0.10734539402237064 
Shunt_4966    0.9982811843399966 
Shunt_5647    0.0007059696382323943 
Shunt_7597    0.0008883630844220553 
Shunt_10597    0.9999075700115578 
Shunt_4148    0.0011163103319377836 
Shunt_12800    0.0007322610631798545 
Shunt_9253    0.00044444191273653713 
Shunt_13621    0.0009544415779126539 
Shunt_3443    0.0007208043923198576 
Shunt_6311    0.0008032852765006143 
Shunt_11824    0.001320729772100446 
Shunt_12626    0.0007384418674464069 
Shunt_3079    0.0007398045028618395 
Shunt_9812    0.0009868722473496058 
Shunt_4930    0.0008375621481155489 
Shunt_3340    0.0007368448736428169 
Shunt_1226    0.0007518936698221909 
Shunt_417    0.0008827086562083706 
Shunt_3027    0.41692924213004895 
Shunt_8796    0.0008616030307509416 
Shunt_13629    0.000576644107295569 
Shunt_7424    0.001009361200639253 
Shunt_7415    0.0008048277049204989 
Shunt_5433    0.9993118881147722 
Shunt_6915    0.002075616923260572 
Shunt_9895    0.0007249655980969029 
Shunt_1596    0.0009722510787989178 
Shunt_1005    0.0011550033939888016 
Shunt_2904    0.000772516005402199 
Shunt_696    0.0013853230080074293 
Shunt_1243    0.000698021146452837 
Shunt_1571    0.0017320658187853532 
Shunt_10168    0.0007916609444530384 
Shunt_10277    0.0007402075571982519 
Shunt_5516    0.0007569970422254071 
Shunt_11742    0.0016536965274424498 
Shunt_2478    0.0005472315326706774 
Shunt_5694    0.0004351471900764249 
Shunt_1550    0.00018989822466979774 
Shunt_6239    0.000771137994274001 
Shunt_863    0.0008704101032323138 
Shunt_5293    0.0007738567556849022 
Shunt_12853    0.0008386615804018148 
Shunt_4632    0.0013195074710963693 
Shunt_1692    0.0011366852244902356 
Shunt_5211    0.000262592324171759 
Shunt_8258    0.0007574229479302956 
Shunt_11269    0.0006980287065916538 
Shunt_1108    0.0003520639923599008 
Shunt_5688    0.0009072488913385032 
Shunt_5877    0.0022228502367638847 
Shunt_8631    0.0012224278535845874 
Shunt_11964    0.0008092688029199882 
Shunt_2221    0.00013610222985256255 
Shunt_7829    0.0007137984126530973 
Shunt_8684    0.0005712137254656419 
Shunt_9286    0.0007909416730196571 
Shunt_2674    0.0008207475599391123 
Shunt_6082    0.9988784959718345 
Shunt_8992    0.000759422214631663 
Shunt_6237    0.0009166176811389395 
Shunt_6472    0.0012432232530551145 
Shunt_237    0.9996225047860186 
Shunt_8358    0.0007757500664955734 
Shunt_5985    0.0007637930528854897 
Shunt_10226    0.46105701671506977 
Shunt_2962    0.000726762473801378 
Shunt_6077    0.001173039306351616 
Shunt_8297    0.000997247218900605 
Shunt_6364    0.0004059720871929 
Shunt_7112    0.9981520988655636 
Shunt_3221    0.0011773565152965626 
Shunt_4685    0.0072118946182512045 
Shunt_6460    0.0009787680344201758 
Shunt_12826    0.0011687678337553666 
Shunt_6972    0.0014559142318193257 
Shunt_3402    0.0008171491804492383 
Shunt_11421    0.0009394516245468847 
Shunt_9468    0.00027345661097284566 
Shunt_10131    0.0002480675514558234 
Shunt_7958    0.0010393220641386949 
Shunt_13537    0.0007453092963967665 
Shunt_8075    0.0033059146406928387 
Shunt_1149    0.004190091301597211 
Shunt_6857    0.0007324411955552792 
Shunt_6403    0.0018747547958356317 
Shunt_1621    0.836316202050321 
Shunt_12767    0.0009851386255458764 
Shunt_7573    0.0007662106473974124 
Shunt_9947    0.00109976790292499 
Shunt_1909    0.0007418715063815506 
Shunt_6730    0.0007411395674674688 
Shunt_4835    0.9992514479698095 
Shunt_5972    0.0012627474364442749 
Shunt_4435    0.000992003376556662 
Shunt_13455    0.0001332353449260353 
Shunt_1099    0.0008185972595989317 
Shunt_5299    0.9998949135242052 
Shunt_1276    0.0011311337453231395 
Shunt_8139    0.000767890707166254 
Shunt_8594    0.0008835557666492564 
Shunt_2220    0.0016008304478363359 
Shunt_5047    0.0012995565115523043 
Shunt_13598    0.0008038880144415496 
Shunt_10296    0.0007890088895472834 
Shunt_2040    0.0011663249696979676 
Shunt_8416    0.0009257328764103299 
Shunt_7664    0.0037630395619502105 
Shunt_6479    0.001031527524234179 
Shunt_7647    0.0009594123651045531 
Shunt_6313    0.0008856003447529802 
Shunt_9526    0.0007458096875836519 
Shunt_8363    0.0007918415641753852 
Shunt_759    0.002644887461818492 
Shunt_12573    0.7384043277093846 
Shunt_5273    0.00037142955200802067 
Shunt_10706    0.9991647300354285 
Shunt_1058    0.0008696231422140975 
Shunt_8673    0.0005469995620891502 
Shunt_1153    0.0004622053218808862 
Shunt_10968    0.0007495871425016212 
Shunt_4935    0.0008185727895272688 
Shunt_9580    0.0010340010006876738 
Shunt_10379    0.0008694204661733417 
Shunt_12684    0.9707693873524875 
Shunt_12418    0.0009664749013288589 
Shunt_8917    0.0005209298681077382 
Shunt_11435    0.0008237858197356774 
Shunt_6958    0.0005815539605626678 
Shunt_2442    0.0008750495261980309 
Shunt_7757    0.0006200078905658428 
Shunt_13260    0.0009212032303356916 
Shunt_12130    0.0009242250747078902 
Shunt_1038    0.0007370371544777598 
Shunt_7546    0.0015552038503671177 
Shunt_11260    0.0003191371450984892 
Shunt_6443    0.0016106671078159206 
Shunt_3748    0.0008601097210280255 
Shunt_10091    0.00025912249039496945 
Shunt_13366    0.00160866768234247 
Shunt_4165    0.0005972806735767329 
Shunt_9371    0.0010095100799324688 
Shunt_11831    0.0009941292151794427 
Shunt_9135    0.000869898174416897 
Shunt_11544    0.0007264568068037975 
Shunt_9858    0.0010461626397641585 
Shunt_11262    0.0006170116269701223 
Shunt_870    0.0008051618390544569 
Shunt_3596    0.8803727341857047 
Shunt_6197    0.0009524177490239755 
Shunt_906    0.0006990721575335352 
Shunt_5677    0.0007937444614559885 
Shunt_6933    0.00023859515068723938 
Shunt_3850    0.000712426990170153 
Shunt_6891    0.9990336550390105 
Shunt_4362    0.0011976481705394104 
Shunt_5757    0.0007118524411632881 
Shunt_120    0.0007612246959149115 
Shunt_10591    0.0010740129879367088 
Shunt_2812    0.9998617569398208 
Shunt_10104    0.0006335430373004998 
Shunt_5969    0.0008012246629243364 
Shunt_9306    0.000777040132155716 
Shunt_7728    0.000670235376945336 
Shunt_8194    0.000772203047066353 
Shunt_3875    0.9999120800783827 
Shunt_4886    0.0009726480233667673 
Shunt_6411    0.0009094749068995266 
Shunt_3511    0.0007225662335479443 
Shunt_11973    0.0008448930753639805 
Shunt_291    0.00168629013404687 
Shunt_5244    0.0012289019787363729 
Shunt_4734    0.002165967926527755 
Shunt_5555    0.46006628811478995 
Shunt_5621    0.0016432506867253775 
Shunt_6069    0.0002561476919687393 
Shunt_7527    0.0001888612016513434 
Shunt_12174    0.001103682287781867 
Shunt_13153    0.894119890343316 
Shunt_3310    0.0007008988877295327 
Shunt_13135    0.00031510214303254874 
Shunt_10824    0.0005329528705875968 
Shunt_1682    0.00032674075740834644 
Shunt_5917    0.0006546586689862519 
Shunt_12142    9.906752310619382e-5 
Shunt_7323    0.0009044659698545464 
Shunt_10685    0.9995092152379499 
Shunt_451    0.000765060458334498 
Shunt_9238    0.00035090167877363076 
Shunt_11571    0.0007424673814600952 
Shunt_8596    0.0009882808551639544 
Shunt_8617    0.6568779404203047 
Shunt_9254    0.000993754331330374 
Shunt_4262    0.0007595836957377066 
Shunt_3120    0.000706339705465564 
Shunt_7614    0.0009254616382244363 
Shunt_2194    0.9999247145719335 
Shunt_4523    0.0001692984842573214 
Shunt_3678    0.0007220599278911769 
Shunt_4276    0.0007197455864851477 
Shunt_4875    0.0009658647040764935 
Shunt_707    0.0007118177256909787 
Shunt_11995    0.0007645548557731607 
Shunt_3844    0.00042961987959974754 
Shunt_8708    0.0007270387754100699 
Shunt_12181    0.9986742796764694 
Shunt_260    0.0007456215478365462 
Shunt_8641    0.7182680328229698 
Shunt_9284    0.0007934862974379442 
Shunt_5711    0.9976277438531983 
Shunt_6513    0.9992896821885806 
Shunt_9561    0.00023437808218777407 
Shunt_6989    0.00029609912678565416 
Shunt_777    0.0007284779086782241 
Shunt_1373    6.936125794987297e-5 
Shunt_3942    0.0013491694897745693 
Shunt_6637    0.0009310436533706885 
Shunt_1528    0.0008538028933332271 
Shunt_2479    0.0007715063148515023 
Shunt_9290    0.0010307638662199652 
Shunt_3677    0.000791462039651299 
Shunt_7957    0.0008847403006444045 
Shunt_9886    0.0009777179073008528 
Shunt_1428    0.0003164756905551834 
Shunt_799    0.0009634914255611504 
Shunt_6938    0.0008132811472238311 
Shunt_5549    0.0008379081697267799 
Shunt_13647    0.002088193227693798 
Shunt_5404    0.00012469735936340695 
Shunt_3408    0.0008115922683593957 
Shunt_12397    0.0005337808669279473 
Shunt_5848    0.001834409085950948 
Shunt_8882    0.0009978673070239177 
Shunt_1134    0.0007941050362334926 
Shunt_2187    0.0008178801836328779 
Shunt_1209    0.0032627574834393548 
Shunt_5238    0.003159631973537915 
Shunt_6727    0.9993887436163401 
Shunt_4017    0.0005813311631045712 
Shunt_631    0.0007343039239370426 
Shunt_1974    0.0012107273634380288 
Shunt_6588    0.0007891953232465213 
Shunt_10769    0.6455061511154631 
Shunt_12754    0.9992603626200253 
Shunt_782    0.9997933280740419 
Shunt_1506    0.0002291843684378862 
Shunt_643    0.0007579245683881852 
Shunt_13578    0.0008357241947584946 
Shunt_13384    0.9953303972997389 
Shunt_4927    0.0007157093899051221 
Shunt_9879    0.0009674901477837855 
Shunt_10771    0.0009637917212994125 
Shunt_10    0.0012618601967452807 
Shunt_7094    0.0012102879844219732 
Shunt_12247    0.0017944894194259408 
Shunt_6858    0.0007623551471828436 
Shunt_9532    0.0010908653552126522 
Shunt_5767    0.00023457440181992207 
Shunt_6186    0.0006964108281149793 
Shunt_11782    0.0008535163546526142 
Shunt_9539    0.0008709872480193477 
Shunt_8192    0.9999724616637857 
Shunt_8674    0.0008066664813009336 
Shunt_633    0.0008977351282217289 
Shunt_1190    0.0008686955262755021 
Shunt_13249    0.0010186583543552793 
Shunt_8305    0.9097610228291202 
Shunt_5997    0.00036218270688438464 
Shunt_12267    0.0008113353573709991 
Shunt_5787    0.0009187984175584056 
Shunt_8184    0.0007903832128474848 
